,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.464055801951976
1,0,2,0,0,2.1805376756187824
2,0,3,0,0,2.180537672309296
3,0,4,0,0,3.3066033638512677
4,0,5,0,0,3.3066033794654643
5,0,6,0,0,5.155023796018287
6,0,7,0,0,5.155023801363411
7,0,8,0,0,2.6916921416719712
8,0,9,0,0,2.6916921436786443
9,0,10,0,0,4.032327492206123
10,0,11,0,0,3.7934398176480464
11,0,12,0,0,5.24584166272516
12,0,13,0,0,5.690347469290711
13,0,14,0,0,3.821799452386617
14,0,15,0,0,4.585053806073913
15,0,16,0,0,4.298970923114123
16,0,17,0,0,4.358522869338223
17,1,2,0,0,5.30978799715178
18,1,3,0,0,5.309788011042966
19,1,4,0,0,4.884848857945969
20,1,5,0,0,4.884848865363349
21,1,6,0,0,5.399198780088466
22,1,7,0,0,5.3991987874852025
23,1,8,0,0,4.241707082674418
24,1,9,0,0,4.24170708580971
25,1,10,0,0,6.836673943764658
26,1,11,0,0,6.619610641368862
27,1,12,0,0,5.6381715149286284
28,1,13,0,0,4.2361836716287256
29,1,14,0,0,5.976497338512995
30,1,15,0,0,6.75344835183876
31,1,16,0,0,4.294595083058785
32,1,17,0,0,3.6727966399502003
33,2,3,0,0,2.2826607134440163e-16
34,2,4,0,0,3.2163777756584615
35,2,5,0,0,3.216377767263183
36,2,6,0,0,4.964462954406662
37,2,7,0,0,4.964462954481828
38,2,8,0,0,3.9977305569222117
39,2,9,0,0,3.997730553283826
40,2,10,0,0,2.7431256967683004
41,2,11,0,0,3.1074130028845377
42,2,12,0,0,3.7504194957106853
43,2,13,0,0,6.706626561790049
44,2,14,0,0,3.652251374797265
45,2,15,0,0,3.3479512686965887
46,2,16,0,0,3.6228715781101304
47,2,17,0,0,4.2171769000753
48,3,4,0,0,3.216377761878792
49,3,5,0,0,3.216377753483514
50,3,6,0,0,4.9644629520672305
51,3,7,0,0,4.964462952142398
52,3,8,0,0,3.997730567161006
53,3,9,0,0,3.997730561845193
54,3,10,0,0,2.7431257061444256
55,3,11,0,0,3.107413005395888
56,3,12,0,0,3.7504195105971556
57,3,13,0,0,6.706626559408359
58,3,14,0,0,3.652251373211743
59,3,15,0,0,3.347951263746067
60,3,16,0,0,3.6228715797008917
61,3,17,0,0,4.217176893931762
62,4,5,0,0,4.098989956991574e-16
63,4,6,0,0,4.59781964932005
64,4,7,0,0,4.5978196445038595
65,4,8,0,0,4.391139266044521
66,4,9,0,0,4.391139263401704
67,4,10,0,0,3.0706300908638537
68,4,11,0,0,3.971095794958972
69,4,12,0,0,3.79907351316522
70,4,13,0,0,5.270001605552876
71,4,14,0,0,1.7845300919937512
72,4,15,0,0,3.605371704321897
73,4,16,0,0,5.0280809527943156
74,4,17,0,0,4.474544117856367
75,5,6,0,0,4.597819652593979
76,5,7,0,0,4.597819647777789
77,5,8,0,0,4.391139280440925
78,5,9,0,0,4.391139277798108
79,5,10,0,0,3.070630099642919
80,5,11,0,0,3.971095797944451
81,5,12,0,0,3.7990735371246145
82,5,13,0,0,5.270001620358002
83,5,14,0,0,1.7845301063249646
84,5,15,0,0,3.605371709065882
85,5,16,0,0,5.028080966012711
86,5,17,0,0,4.474544114449888
87,6,7,0,0,6.666666696396378e-17
88,6,8,0,0,5.903906840816379
89,6,9,0,0,5.903906846457128
90,6,10,0,0,5.892669903677532
91,6,11,0,0,4.946739144396705
92,6,12,0,0,6.610251104863645
93,6,13,0,0,5.510962368057789
94,6,14,0,0,5.905729569127562
95,6,15,0,0,4.9422838657129935
96,6,16,0,0,4.101045783546017
97,6,17,0,0,4.902663167981401
98,7,8,0,0,5.903906847012769
99,7,9,0,0,5.903906853048095
100,7,10,0,0,5.892669899798288
101,7,11,0,0,4.946739138239124
102,7,12,0,0,6.610251099495765
103,7,13,0,0,5.510962366599348
104,7,14,0,0,5.905729561120672
105,7,15,0,0,4.942283853813539
106,7,16,0,0,4.101045780358179
107,7,17,0,0,4.902663168049318
108,8,9,0,0,8.798361025443369e-17
109,8,10,0,0,4.200646534359077
110,8,11,0,0,5.308310763390003
111,8,12,0,0,5.350028206641644
112,8,13,0,0,5.83784670144983
113,8,14,0,0,4.598412597611484
114,8,15,0,0,5.885686336830434
115,8,16,0,0,4.957242730068711
116,8,17,0,0,4.849339371463795
117,9,10,0,0,4.200646530290958
118,9,11,0,0,5.3083107603804445
