,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,6.052694756511362
1,0,2,0,0,3.846341992497061
2,0,3,0,0,4.483130776326464
3,0,4,0,0,5.276398177934453
4,0,5,0,0,5.276398181265737
5,0,6,0,0,3.5783839133356743
6,0,7,0,0,3.5783839129450046
7,0,8,0,0,3.851856173117854
8,0,9,0,0,5.36365833930994
9,0,10,0,0,3.9091960266938597
10,0,11,0,0,2.5885709879209893
11,0,12,0,0,5.420447782629938
12,0,13,0,0,4.569982365929237
13,0,14,0,0,3.8463419924970617
14,0,15,0,0,4.916511423991316
15,0,16,0,0,4.496488563794621
16,0,17,0,0,5.276398181265737
17,0,18,0,0,3.999478349255092
18,0,19,0,0,2.317157675153473
19,0,20,0,0,4.453877316775933
20,0,21,0,0,3.6381366428556254
21,0,22,0,0,4.129689532736932
22,0,23,0,0,4.276949229473302
23,1,2,0,0,2.8862906856473702
24,1,3,0,0,3.135583654350923
25,1,4,0,0,1.6700356028568892
26,1,5,0,0,1.6700355961669109
27,1,6,0,0,5.209576353623558
28,1,7,0,0,5.209576337337687
29,1,8,0,0,5.362056063714373
30,1,9,0,0,3.8687990447168596
31,1,10,0,0,2.6162116687090746
32,1,11,0,0,3.9307380265781537
33,1,12,0,0,1.8765072673681045
34,1,13,0,0,4.225657389544072
35,1,14,0,0,2.886290685647371
36,1,15,0,0,3.5404868113130545
37,1,16,0,0,4.601719057380461
38,1,17,0,0,1.670035596166911
39,1,18,0,0,4.439351507319264
40,1,19,0,0,3.89267138177494
41,1,20,0,0,2.212024081330707
42,1,21,0,0,4.500419687639739
43,1,22,0,0,4.22937521712247
44,1,23,0,0,2.989724065089366
45,2,3,0,0,1.876507267368107
46,2,4,0,0,3.892671381774941
47,2,5,0,0,3.892671432423784
48,2,6,0,0,4.508360654262766
49,2,7,0,0,4.508360686318269
50,2,8,0,0,4.229375208837905
51,2,9,0,0,3.374175076048564
52,2,10,0,0,2.212024070998557
53,2,11,0,0,1.9352570896551788
54,2,12,0,0,3.135583654350926
55,2,13,0,0,4.490113681883675
56,2,14,0,0,1.5810834336176814e-30
57,2,15,0,0,4.236530483403803
58,2,16,0,0,5.040066184385969
59,2,17,0,0,3.892671432423781
60,2,18,0,0,3.396737178932001
61,2,19,0,0,1.6700356028568861
62,2,20,0,0,2.6162116701715274
63,2,21,0,0,4.278171880998774
64,2,22,0,0,5.362056058301986
65,2,23,0,0,3.84303009331168
66,3,4,0,0,4.4176929261583044
67,3,5,0,0,4.417692950460052
68,3,6,0,0,4.275480242751579
69,3,7,0,0,4.275480265958738
70,3,8,0,0,4.276583539351179
71,3,9,0,0,2.9746836353960733
72,3,10,0,0,3.8433036050414238
73,3,11,0,0,2.1389292335447974
74,3,12,0,0,2.4807201452265755
75,3,13,0,0,4.917390070148585
76,3,14,0,0,1.876507267368108
77,3,15,0,0,4.569135861571597
78,3,16,0,0,4.14704280343031
79,3,17,0,0,4.41769295046005
80,3,18,0,0,1.6685261136236917
81,3,19,0,0,2.746175509309563
82,3,20,0,0,3.381471445562655
83,3,21,0,0,4.077116254414219
84,3,22,0,0,5.074900606237031
85,3,23,0,0,3.851870414975653
86,4,5,0,0,1.1707573648914168e-15
87,4,6,0,0,4.764261166190886
88,4,7,0,0,4.764261155501468
89,4,8,0,0,5.246716799246401
90,4,9,0,0,4.164794930828886
91,4,10,0,0,2.7784842257256277
92,4,11,0,0,4.217072163488806
93,4,12,0,0,2.7461755093095666
94,4,13,0,0,3.9379041506874968
95,4,14,0,0,3.892671381774941
96,4,15,0,0,2.933142604486696
97,4,16,0,0,3.8303344305880995
98,4,17,0,0,1.1707572717822423e-15
99,4,18,0,0,5.234762345289443
100,4,19,0,0,3.5010134943767994
101,4,20,0,0,2.2402828453038053
102,4,21,0,0,3.928410850472522
103,4,22,0,0,4.0883360413442915
104,4,23,0,0,2.6191657739644105
105,5,6,0,0,4.764261183837544
106,5,7,0,0,4.764261173148122
107,5,8,0,0,5.2467167879156085
108,5,9,0,0,4.164794948968007
109,5,10,0,0,2.7784842703197765
110,5,11,0,0,4.217072205901318
111,5,12,0,0,2.7461755211879626
112,5,13,0,0,3.9379041533610075
113,5,14,0,0,3.8926714324237848
114,5,15,0,0,2.9331426328512675
115,5,16,0,0,3.830334443789412
116,5,17,0,0,4.981419351385287e-30
117,5,18,0,0,5.234762368352753
118,5,19,0,0,3.501013546183135
119,5,20,0,0,2.240282880874717
120,5,21,0,0,3.9284108726475764
121,5,22,0,0,4.088336019183764
122,5,23,0,0,2.619165785992311
123,6,7,0,0,6.294368759509548e-16
124,6,8,0,0,2.774231429568726
125,6,9,0,0,2.440074675206816
126,6,10,0,0,4.414549304944069
127,6,11,0,0,4.1601816961177605
128,6,12,0,0,3.340644934422088
129,6,13,0,0,4.142585736486108
130,6,14,0,0,4.508360654262766
131,6,15,0,0,5.279521947556881
132,6,16,0,0,4.764552709006642
133,6,17,0,0,4.764261183837542
134,6,18,0,0,3.849566241338742
135,6,19,0,0,4.368087457261157
136,6,20,0,0,3.573725361448055
137,6,21,0,0,4.432302229360054
138,6,22,0,0,2.9632104106494053
139,6,23,0,0,3.684603443427174
140,7,8,0,0,2.7742314555441467
141,7,9,0,0,2.440074703826745
142,7,10,0,0,4.414549317482915
143,7,11,0,0,4.160181702758778
144,7,12,0,0,3.340644922196301
145,7,13,0,0,4.142585735003775
146,7,14,0,0,4.5083606863182695
147,7,15,0,0,5.279521970869807
148,7,16,0,0,4.764552709664698
149,7,17,0,0,4.764261173148121
150,7,18,0,0,3.8495662550859637
151,7,19,0,0,4.3680874699455075
152,7,20,0,0,3.5737253676670657
153,7,21,0,0,4.432302255073509
154,7,22,0,0,2.9632104190262782
155,7,23,0,0,3.684603450378451
156,8,9,0,0,3.1966328028394697
157,8,10,0,0,4.367802933737421
158,8,11,0,0,3.7748158005930934
159,8,12,0,0,5.074900624819285
160,8,13,0,0,1.9329828373386404
161,8,14,0,0,4.229375208837905
162,8,15,0,0,3.915608447047655
163,8,16,0,0,3.9006679530595827
164,8,17,0,0,5.246716787915608
165,8,18,0,0,3.872590536548897
166,8,19,0,0,4.088336067550632
167,8,20,0,0,3.7318368324723497
168,8,21,0,0,3.732944420470519
169,8,22,0,0,2.4651134013563842
170,8,23,0,0,4.167946134138468
171,9,10,0,0,3.7763103294044917
172,9,11,0,0,4.363401121138842
173,9,12,0,0,2.2174616768313427
174,9,13,0,0,4.447254058479597
175,9,14,0,0,3.374175076048564
176,9,15,0,0,2.6983927613153798
177,9,16,0,0,2.9526608697807286
178,9,17,0,0,4.164794948968005
179,9,18,0,0,2.6182722191707235
180,9,19,0,0,4.840455028911507
181,9,20,0,0,3.839075410092296
182,9,21,0,0,3.7079396539784812
183,9,22,0,0,2.808670822944867
184,9,23,0,0,2.2342441270990006
185,10,11,0,0,1.9601626567334065
186,10,12,0,0,3.381471441483288
187,10,13,0,0,4.302256577854301
188,10,14,0,0,2.212024070998556
189,10,15,0,0,3.809201918860831
190,10,16,0,0,3.8665551867042103
191,10,17,0,0,2.778484270319774
192,10,18,0,0,4.3156224367330855
