,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,2.48046184160072
2,0,3,2.4804618415245705
3,0,4,1.6604457508596715
4,0,5,1.6604457475126326
5,0,6,2.317157672100104
6,0,7,2.317157675153473
7,0,8,1.9325427674421007
8,0,9,1.9325427715922936
9,0,10,2.588570955151608
10,0,11,2.5885709879209893
11,0,12,0.0
12,0,13,0.0
13,0,14,2.480461841600718
14,0,15,2.4804618415245696
15,0,16,1.6604457508596713
16,0,17,1.6604457475126329
17,0,18,2.317157672100105
18,0,19,2.317157675153473
19,0,20,1.932542767442102
20,0,21,1.9325427715922925
21,0,22,2.588570955151613
22,0,23,2.5885709879209857
23,1,2,2.482158965199467
24,1,3,2.482158951693432
25,1,4,1.6700356028568892
26,1,5,1.6700355961669109
27,1,6,2.345588528391918
28,1,7,2.345588518086443
29,1,8,1.93525708965518
30,1,9,1.9352570896528825
31,1,10,2.616211668709074
32,1,11,2.6162116701715257
33,1,12,0.0
34,1,13,0.0
35,1,14,2.482158965199467
36,1,15,2.4821589516934326
37,1,16,1.670035602856888
38,1,17,1.670035596166911
39,1,18,2.34558852839192
40,1,19,2.345588518086444
41,1,20,1.93525708965518
42,1,21,1.935257089652882
43,1,22,2.6162116687090755
44,1,23,2.616211670171528
45,2,3,0.0
46,2,4,2.345588518086446
47,2,5,2.34558852839192
48,2,6,1.6700355961669102
49,2,7,1.6700356028568897
50,2,8,2.6162116701715266
51,2,9,2.6162116687090773
52,2,10,1.9352570896528825
53,2,11,1.9352570896551788
54,2,12,2.482158951693433
55,2,13,2.4821589651994675
56,2,14,0.0
57,2,15,0.0
58,2,16,2.345588518086446
59,2,17,2.345588528391922
60,2,18,1.6700355961669076
61,2,19,1.670035602856886
62,2,20,2.6162116701715274
63,2,21,2.6162116687090786
64,2,22,1.9352570896528825
65,2,23,1.9352570896551808
66,3,4,2.318680750456819
67,3,5,2.3186807717300573
68,3,6,1.668526113623692
69,3,7,1.668526121814183
70,3,8,2.5910793091856927
71,3,9,2.5910792783385546
72,3,10,1.9319089842687769
73,3,11,1.9319089807163763
74,3,12,2.4807201452265755
75,3,13,2.4807201458749093
76,3,14,0.0
77,3,15,0.0
78,3,16,2.318680750456819
79,3,17,2.318680771730058
80,3,18,1.6685261136236915
81,3,19,1.6685261218141831
82,3,20,2.5910793091856896
83,3,21,2.591079278338559
84,3,22,1.9319089842687764
85,3,23,1.9319089807163792
86,4,5,0.0
87,4,6,2.0632738447083843
88,4,7,2.06327384594184
89,4,8,0.5942703047833037
90,4,9,0.5942702971388959
91,4,10,1.9437460068455203
92,4,11,1.9437460100002335
93,4,12,1.6700356080524168
94,4,13,1.670035602856891
95,4,14,2.3171576673625407
96,4,15,2.317157675153468
97,4,16,0.0
98,4,17,0.0
99,4,18,2.063273844708384
100,4,19,2.0632738459418367
101,4,20,0.5942703047833024
102,4,21,0.5942702971388962
103,4,22,1.9437460068455208
104,4,23,1.9437460100002344
105,5,6,2.063273843655051
106,5,7,2.063273844888508
107,5,8,0.5942703081402713
108,5,9,0.5942703004958633
109,5,10,1.9437460062293344
110,5,11,1.9437460093840464
111,5,12,1.6700356013624382
112,5,13,1.670035596166913
113,5,14,2.317157664309172
114,5,15,2.3171576721000986
115,5,16,0.0
116,5,17,0.0
117,5,18,2.063273843655049
118,5,19,2.063273844888505
119,5,20,0.5942703081402699
120,5,21,0.594270300495864
121,5,22,1.9437460062293344
122,5,23,1.943746009384048
123,6,7,0.0
124,6,8,1.9749142165709928
125,6,9,1.9749142154688224
126,6,10,0.593869372726314
127,6,11,0.5938693805332809
128,6,12,2.3416673533739814
129,6,13,2.3416673465739777
130,6,14,1.6648040942057103
131,6,15,1.6648040958312844
132,6,16,2.0931260636124227
133,6,17,2.093126054921628
134,6,18,0.0
135,6,19,0.0
136,6,20,1.9749142165709936
137,6,21,1.9749142154688224
138,6,22,0.5938693727263149
139,6,23,0.5938693805332786
140,7,8,1.9749142045626948
141,7,9,1.9749142034605252
142,7,10,0.593869364743631
143,7,11,0.5938693725505974
144,7,12,2.341667348404036
145,7,13,2.34166734160403
146,7,14,1.664804081523794
147,7,15,1.664804083149369
148,7,16,2.0931260409771126
149,7,17,2.093126032286319
150,7,18,0.0
151,7,19,0.0
152,7,20,1.9749142045626968
153,7,21,1.974914203460525
154,7,22,0.5938693647436321
155,7,23,0.593869372550595
156,8,9,0.0
157,8,10,2.2265699602785864
158,8,11,2.226569957235696
159,8,12,1.93298283727344
160,8,13,1.9329828373386404
161,8,14,2.588939988411503
162,8,15,2.588939985356828
163,8,16,0.5930156265307613
164,8,17,0.5930156332223527
165,8,18,1.95676737114702
166,8,19,1.9567674085409563
167,8,20,0.0
168,8,21,0.0
169,8,22,2.226569960278584
170,8,23,2.2265699572356983
171,9,10,2.2342441089267457
