,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.986380353251611
1,0,2,0,0,5.811852974375346
2,0,3,0,0,3.6426133369066593
3,0,4,0,0,4.269966546651762
4,0,5,0,0,4.065779279883904
5,0,6,0,0,5.375981097889256
6,0,7,0,0,4.863340966318178
7,0,8,0,0,2.9342237276184093
8,0,9,0,0,2.934223725315974
9,0,10,0,0,3.541262238958564
10,0,11,0,0,1.8428651107702356
11,0,12,0,0,2.7719857408574304
12,0,13,0,0,1.6573854688113716
13,0,14,0,0,3.899695505867656
14,0,15,0,0,2.3862269040171427
15,0,16,0,0,3.957821708803847
16,0,17,0,0,4.6378436647509
17,0,18,0,0,3.107811942827757
18,0,19,0,0,5.81185297177926
19,0,20,0,0,3.3978292139179156
20,0,21,0,0,3.4579052637104093
21,0,22,0,0,4.848871067884638
22,0,23,0,0,4.38877884269432
23,0,24,0,0,2.9342237276184138
24,0,25,0,0,5.596568876626372
25,0,26,0,0,3.2135783038692507
26,0,27,0,0,3.213578293661345
27,0,28,0,0,6.066474719345462
28,0,29,0,0,6.160856108527547
29,0,30,0,0,4.955454902225334
30,0,31,0,0,6.815770160097407
31,1,2,0,0,3.6506024929646346
32,1,3,0,0,2.8643867048074796
33,1,4,0,0,2.9971456488990493
34,1,5,0,0,4.518101760350927
35,1,6,0,0,3.624360586849065
36,1,7,0,0,3.7353999964490234
37,1,8,0,0,4.318976945728511
38,1,9,0,0,4.318976956655339
39,1,10,0,0,5.315044172633228
40,1,11,0,0,3.2030903194976785
41,1,12,0,0,3.2219357690776427
42,1,13,0,0,6.075519333618161
43,1,14,0,0,3.3197705458732356
44,1,15,0,0,5.542308754582014
45,1,16,0,0,2.5027262132206083
46,1,17,0,0,3.9591301245790924
47,1,18,0,0,4.889293106648347
48,1,19,0,0,3.6506024860151043
49,1,20,0,0,4.279221270161692
50,1,21,0,0,4.075797136515693
51,1,22,0,0,3.904300917143665
52,1,23,0,0,4.871777803594081
53,1,24,0,0,4.31897694572851
54,1,25,0,0,2.920750643995746
55,1,26,0,0,5.224641055145136
56,1,27,0,0,5.2246410623771
57,1,28,0,0,6.154294696467486
58,1,29,0,0,1.6619318296145895
59,1,30,0,0,5.852861804783927
60,1,31,0,0,3.9051481434027093
61,2,3,0,0,5.00696097627862
62,2,4,0,0,3.70822182825539
63,2,5,0,0,3.644502219896977
64,2,6,0,0,3.157145664057147
65,2,7,0,0,3.046919065026887
66,2,8,0,0,5.245320616779813
67,2,9,0,0,5.24532062121019
68,2,10,0,0,4.511865891091429
69,2,11,0,0,5.583797782678648
70,2,12,0,0,5.823594468516646
71,2,13,0,0,6.83430244951339
72,2,14,0,0,6.1594207932478495
73,2,15,0,0,6.590473133845264
74,2,16,0,0,4.4957761612016744
75,2,17,0,0,3.1536473099428086
76,2,18,0,0,4.628967432585347
77,2,19,0,0,8.642793231547219e-17
78,2,20,0,0,4.380285775426041
79,2,21,0,0,4.85754279282483
80,2,22,0,0,3.4963878223572085
81,2,23,0,0,3.3744733106183804
82,2,24,0,0,5.24532061677981
83,2,25,0,0,1.8407382321086636
84,2,26,0,0,4.265988027745958
85,2,27,0,0,4.265988054038091
86,2,28,0,0,3.313351200216412
87,2,29,0,0,3.9045001066985536
88,2,30,0,0,3.238210758102044
89,2,31,0,0,1.663429493125701
90,3,4,0,0,4.388778842694322
91,3,5,0,0,4.848871067884639
92,3,6,0,0,6.1669453487215495
93,3,7,0,0,3.3978292139179156
94,3,8,0,0,1.842865110770237
95,3,9,0,0,1.8428650977411254
96,3,10,0,0,5.025256104228575
97,3,11,0,0,2.93422372761841
98,3,12,0,0,2.864991644226432
99,3,13,0,0,3.899695505867656
100,3,14,0,0,1.6573854688113727
101,3,15,0,0,5.17961786335395
102,3,16,0,0,3.1078119562771533
103,3,17,0,0,4.894546095957441
104,3,18,0,0,3.957821725708408
105,3,19,0,0,5.006960969597807
106,3,20,0,0,4.863340966318179
107,3,21,0,0,3.9168161436764515
108,3,22,0,0,4.065779279883903
109,3,23,0,0,4.269966546651761
110,3,24,0,0,1.8428651107702372
111,3,25,0,0,3.213578303869252
112,3,26,0,0,5.596568876626371
113,3,27,0,0,5.596568868477962
114,3,28,0,0,6.815770160097409
115,3,29,0,0,3.322589928374366
116,3,30,0,0,5.774681223553073
117,3,31,0,0,6.066474719345463
118,4,5,0,0,4.26623367357504
119,4,6,0,0,3.637134722481862
120,4,7,0,0,2.435158526148949
121,4,8,0,0,4.8675920667473624
122,4,9,0,0,4.867592070608954
123,4,10,0,0,4.604291996144883
124,4,11,0,0,4.007097979789544
125,4,12,0,0,3.8147825418833112
126,4,13,0,0,5.7515699941027245
127,4,14,0,0,5.539500228491166
128,4,15,0,0,5.335620595616773
129,4,16,0,0,4.068145948066261
130,4,17,0,0,3.1688986380891686
131,4,18,0,0,5.374656736099165
132,4,19,0,0,3.708221822034293
133,4,20,0,0,3.771057851686906
134,4,21,0,0,4.293759448671054
135,4,22,0,0,3.594243899192626
136,4,23,0,0,1.97566455461678
137,4,24,0,0,4.86759206674736
138,4,25,0,0,3.308503499856672
139,4,26,0,0,3.6235757408337035
140,4,27,0,0,3.623575739333739
141,4,28,0,0,5.242897874840319
142,4,29,0,0,4.356034878302869
143,4,30,0,0,3.4289650541970165
144,4,31,0,0,4.164694395866714
145,5,6,0,0,1.9739609416264887
146,5,7,0,0,5.082107197370875
147,5,8,0,0,4.117439897913612
148,5,9,0,0,4.117439889013238
149,5,10,0,0,3.348473868305882
150,5,11,0,0,5.328998223901381
151,5,12,0,0,5.885550753072481
152,5,13,0,0,3.814836251590761
153,5,14,0,0,5.332257506935541
154,5,15,0,0,5.21419703283513
155,5,16,0,0,6.1666836472365425
156,5,17,0,0,3.391194989873649
157,5,18,0,0,4.387296219384399
158,5,19,0,0,3.6445022049340516
159,5,20,0,0,2.512436285212742
160,5,21,0,0,5.03641232874374
161,5,22,0,0,3.63742187546738
162,5,23,0,0,3.5942438991926275
163,5,24,0,0,4.11743989791361
164,5,25,0,0,5.043483237423163
165,5,26,0,0,2.5267321494684376
166,5,27,0,0,2.5267321605616893
167,5,28,0,0,3.780143924482722
168,5,29,0,0,6.032850807955049
169,5,30,0,0,2.5952080467328917
170,5,31,0,0,3.4253382926333478
