,neighbor_num,isite,atom,x,y,z,front_index
0,0,15,Si1,0.0,0.0,0.0,
1,1,32,O1,5.551115123125783e-17,-1.1102230246251565e-16,1.6084614864899307,0.0
2,1,54,O1,-0.7527133273276044,-1.3094331118780322,-0.5649448228084055,0.0
3,1,51,O1,-0.7906468681145812,1.3094331118780311,-0.510507135988537,0.0
4,1,47,O1,1.5089425385015725,5.551115123125783e-17,-0.5569926112811832,0.0
5,2,2,Si1,0.6347635129366933,0.1143135191321637,3.083183974719784,1.0
6,2,11,Si1,-1.159791743773035,-1.8581709493973606,-2.025605299776305,2.0
7,2,9,Si1,-2.301899962201161,1.8581709493973588,-0.38658800217317635,3.0
8,2,7,Si1,3.1122324545188924,-0.11431351913216292,-0.4721835324997407,4.0
9,3,36,O1,1.0256661679625485,1.643280431439843,3.3998131121424464,5.0
10,3,62,O1,-0.42947531027850616,-0.4032414563749003,4.167304864911728,5.0
11,3,56,O1,1.9714358667946337,-0.7769690699853391,3.1354616097947887,5.0
12,3,49,O1,-2.076067544886579,-0.750015381488589,-2.7555265106228726,6.0
13,3,36,O1,-2.0088491218674758,-3.21849599293839,-1.900043768486296,6.0
14,3,43,O1,0.18710767825161462,-2.117789810459158,-2.8656102684830635,6.0
15,3,41,O1,-2.4781264698112717,3.2184959929383887,-1.2265929708799344,7.0
16,3,52,O1,-3.30395567161963,0.7500153814885859,-0.993408134479147,7.0
17,3,38,O1,-2.623515498521261,2.117789810459157,1.1678604039503302,7.0
18,3,63,O1,3.7607422110040667,0.40324145637490016,-1.84599482708593,8.0
19,3,59,O1,3.6241505694975142,0.7769690699853407,0.7636828746227663,8.0
20,3,41,O1,3.5446363826250478,-1.6432804314398413,-0.2151120651416396,8.0
21,4,11,Si1,1.8747235460569893,3.0036054749808727,3.2742515808524373,9.0
22,4,22,Si1,-1.4937141334937056,-0.9207964318819641,5.2514257551036705,10.0
23,4,0,Si1,3.0932553093012,-1.8702636172990303,3.496070480442156,11.0
24,4,13,Si1,-3.4616917059741974,-1.1102230246251565e-15,-2.4121933019494812,12.0
25,4,2,Si1,-2.3997517768933303,-4.747462905246069,-2.216672905908957,13.0
26,4,5,Si1,1.316406305997484,-2.9915128070792,-3.6086388344558307,14.0
27,4,7,Si1,-2.910530397917429,4.747462905246069,-1.4836644382380362,15.0
28,4,13,Si1,-3.4616917059741974,-1.1102230246251565e-15,-2.4121933019494812,16.0
29,4,0,Si1,-2.929507543135122,2.9915128070792,2.48458957470386,17.0
30,4,3,Si1,4.409251967489241,0.920796431881963,-3.219806121672119,18.0
31,4,5,Si1,4.350921595827508,1.870263617299032,1.6912180461729114,19.0
32,4,9,Si1,3.720862890235159,-3.0036054749808705,0.6248929035651185,20.0
