,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,0.0
6,0,7,0.0
7,0,8,1.606197712119514
8,0,9,1.6061977121195157
9,0,10,1.606197712119516
10,0,11,1.606197712119515
11,0,12,1.606197712119514
12,0,13,1.6061977121195168
13,0,14,1.6061977121195152
14,0,15,1.606197712119514
15,0,16,0.0
16,0,17,0.0
17,0,18,0.0
18,0,19,0.0
19,0,20,0.0
20,0,21,0.0
21,0,22,0.0
22,0,23,0.0
23,0,24,1.6061977121195152
24,0,25,1.6061977121195157
25,0,26,1.6061977121195143
26,0,27,1.6061977121195148
27,0,28,1.606197712119515
28,0,29,1.606197712119514
29,0,30,1.606197712119516
30,0,31,1.6061977121195157
31,1,2,0.0
32,1,3,0.0
33,1,4,0.0
34,1,5,0.0
35,1,6,0.0
36,1,7,0.0
37,1,8,1.6061037977420498
38,1,9,1.6061037977420507
39,1,10,1.606103797742052
40,1,11,1.6061037977420505
41,1,12,1.6082336906094004
42,1,13,1.6082336906094024
43,1,14,1.608233690609401
44,1,15,1.6082336906094004
45,1,16,0.0
46,1,17,0.0
47,1,18,0.0
48,1,19,0.0
49,1,20,0.0
50,1,21,0.0
51,1,22,0.0
52,1,23,0.0
53,1,24,1.6061037977420516
54,1,25,1.6061037977420516
55,1,26,1.6061037977420505
56,1,27,1.60610379774205
57,1,28,1.6082336906094008
58,1,29,1.6082336906094004
59,1,30,1.608233690609402
60,1,31,1.6082336906094012
61,2,3,0.0
62,2,4,0.0
63,2,5,0.0
64,2,6,0.0
65,2,7,0.0
66,2,8,1.601354143085418
67,2,9,1.60135414308542
68,2,10,1.6013541430854206
69,2,11,1.6013541430854197
70,2,12,1.6002497272067069
71,2,13,1.600249727206709
72,2,14,1.600249727206707
73,2,15,1.6002497272067062
74,2,16,0.0
75,2,17,0.0
76,2,18,0.0
77,2,19,0.0
78,2,20,0.0
79,2,21,0.0
80,2,22,0.0
81,2,23,0.0
82,2,24,1.60135414308542
83,2,25,1.6013541430854183
84,2,26,1.6013541430854183
85,2,27,1.6013541430854197
86,2,28,1.6002497272067064
87,2,29,1.6002497272067056
88,2,30,1.6002497272067076
89,2,31,1.6002497272067098
90,3,4,0.0
91,3,5,0.0
92,3,6,0.0
93,3,7,0.0
94,3,8,1.608233690609405
95,3,9,1.6082336906094064
96,3,10,1.608233690609406
97,3,11,1.6082336906094064
98,3,12,1.6061037977420525
99,3,13,1.6061037977420545
100,3,14,1.6061037977420531
101,3,15,1.606103797742052
102,3,16,0.0
103,3,17,0.0
104,3,18,0.0
105,3,19,0.0
106,3,20,0.0
107,3,21,0.0
108,3,22,0.0
109,3,23,0.0
110,3,24,1.608233690609406
111,3,25,1.608233690609406
112,3,26,1.608233690609406
113,3,27,1.6082336906094057
114,3,28,1.6061037977420525
115,3,29,1.6061037977420514
116,3,30,1.6061037977420536
117,3,31,1.6061037977420538
118,4,5,0.0
119,4,6,0.0
120,4,7,0.0
121,4,8,1.60610379774205
122,4,9,1.6061037977420511
123,4,10,1.6061037977420516
124,4,11,1.6061037977420507
125,4,12,1.6082336906094026
126,4,13,1.608233690609404
127,4,14,1.608233690609403
128,4,15,1.608233690609403
129,4,16,0.0
130,4,17,0.0
131,4,18,0.0
132,4,19,0.0
133,4,20,0.0
134,4,21,0.0
135,4,22,0.0
136,4,23,0.0
137,4,24,1.6061037977420516
138,4,25,1.6061037977420516
139,4,26,1.60610379774205
140,4,27,1.6061037977420505
141,4,28,1.6082336906094028
142,4,29,1.608233690609402
143,4,30,1.608233690609404
144,4,31,1.6082336906094024
145,5,6,0.0
146,5,7,0.0
147,5,8,1.5692635667028392
148,5,9,1.5692635667028396
149,5,10,1.5692635667028392
150,5,11,1.5692635667028398
151,5,12,1.5768613993783882
152,5,13,1.57686139937839
153,5,14,1.576861399378388
154,5,15,1.5768613993783889
155,5,16,0.0
156,5,17,0.0
157,5,18,0.0
158,5,19,0.0
159,5,20,0.0
160,5,21,0.0
161,5,22,0.0
162,5,23,0.0
163,5,24,1.5692635667028398
164,5,25,1.5692635667028405
165,5,26,1.56926356670284
166,5,27,1.569263566702839
167,5,28,1.5768613993783889
168,5,29,1.5768613993783889
169,5,30,1.5768613993783895
170,5,31,1.5768613993783895
171,6,7,0.0
172,6,8,1.5692635667028358
173,6,9,1.5692635667028358
174,6,10,1.569263566702835
175,6,11,1.5692635667028358
176,6,12,1.5768613993783864
177,6,13,1.5768613993783878
178,6,14,1.5768613993783862
179,6,15,1.5768613993783864
180,6,16,0.0
181,6,17,0.0
182,6,18,0.0
183,6,19,0.0
184,6,20,0.0
185,6,21,0.0
186,6,22,0.0
187,6,23,0.0
188,6,24,1.5692635667028365
189,6,25,1.5692635667028367
190,6,26,1.569263566702836
191,6,27,1.5692635667028347
192,6,28,1.5768613993783864
193,6,29,1.5768613993783869
194,6,30,1.576861399378387
195,6,31,1.576861399378387
196,7,8,1.569263566702836
197,7,9,1.5692635667028358
198,7,10,1.5692635667028358
199,7,11,1.5692635667028367
200,7,12,1.576861399378387
201,7,13,1.5768613993783884
202,7,14,1.5768613993783875
203,7,15,1.576861399378387
204,7,16,0.0
205,7,17,0.0
206,7,18,0.0
207,7,19,0.0
208,7,20,0.0
209,7,21,0.0
210,7,22,0.0
211,7,23,0.0
212,7,24,1.5692635667028365
213,7,25,1.5692635667028372
214,7,26,1.5692635667028365
215,7,27,1.5692635667028352
216,7,28,1.576861399378387
217,7,29,1.5768613993783875
218,7,30,1.5768613993783884
219,7,31,1.5768613993783882
220,8,9,0.0
221,8,10,0.0
222,8,11,0.0
223,8,12,2.87721340507134
224,8,13,2.8772134050713416
225,8,14,2.87721340507134
226,8,15,2.877213405071341
227,8,16,1.5604840932815656
228,8,17,1.5604840932815625
229,8,18,1.5604840932815622
230,8,19,1.5604840932815616
231,8,20,1.5604840932815645
232,8,21,1.560484093281563
233,8,22,1.5604840932815662
234,8,23,1.5604840932815618
235,8,24,0.0
236,8,25,0.0
237,8,26,0.0
238,8,27,0.0
239,8,28,2.8772134050713403
240,8,29,2.877213405071341
241,8,30,2.877213405071341
242,8,31,2.8772134050713416
243,9,10,0.0
244,9,11,0.0
245,9,12,2.8772134050713403
246,9,13,2.8772134050713425
247,9,14,2.8772134050713416
248,9,15,2.8772134050713407
249,9,16,1.568712189925294
250,9,17,1.5687121899252925
251,9,18,1.5687121899252925
252,9,19,1.568712189925291
253,9,20,1.5687121899252945
254,9,21,1.5687121899252927
255,9,22,1.5687121899252945
256,9,23,1.5687121899252916
257,9,24,0.0
258,9,25,0.0
259,9,26,0.0
260,9,27,0.0
261,9,28,2.8772134050713403
262,9,29,2.8772134050713394
263,9,30,2.8772134050713416
264,9,31,2.877213405071343
265,10,11,0.0
266,10,12,2.8825203560763377
