,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,1.542447604133697e-06
1,0,2,0,0,5.715602088161141
2,0,3,0,0,5.714614086838264
3,0,4,0,0,5.71461409176694
4,0,5,0,0,5.889203555983778
5,0,6,0,0,5.472852734931383
6,0,7,0,0,5.472852738650543
7,0,8,0,0,5.472310025067527
8,0,9,0,0,5.4723100279816626
9,1,2,0,0,5.716590402096388
10,1,3,0,0,5.715602078347092
11,1,4,0,0,5.7156020832851935
12,1,5,0,0,5.889344906575207
13,1,6,0,0,5.473123332827502
14,1,7,0,0,5.473123336540561
15,1,8,0,0,5.472578913848189
16,1,9,0,0,5.472578915200202
17,2,3,0,0,1.5424772054851316e-06
18,2,4,0,0,1.5424687280684658e-06
19,2,5,0,0,5.889344903318503
20,2,6,0,0,5.47257891795666
21,2,7,0,0,5.472578916546447
22,2,8,0,0,5.473123338842465
23,2,9,0,0,5.473123340621383
24,3,4,0,0,6.008462427845682e-17
25,3,5,0,0,5.889203557115755
26,3,6,0,0,5.47231002111186
27,3,7,0,0,5.47231001969617
28,3,8,0,0,5.472852732850931
29,3,9,0,0,5.47285273465791
30,4,5,0,0,5.889203549250318
31,4,6,0,0,5.472310022573566
32,4,7,0,0,5.472310022410975
33,4,8,0,0,5.472852735575257
34,4,9,0,0,5.472852737382237
35,5,6,0,0,4.141175059400589
36,5,7,0,0,4.141175057993681
37,5,8,0,0,4.141175058430812
38,5,9,0,0,4.141175055352609
39,6,7,0,0,4.232121017488834e-17
40,6,8,0,0,2.247820225618145e-06
41,6,9,0,0,2.2478158198542423e-06
42,7,8,0,0,2.2478108375446927e-06
43,7,9,0,0,2.2478064317815307e-06
44,8,9,0,0,2.868680383352195e-17
45,0,1,0,1,4.330782649484522
46,0,2,0,1,5.881674984957485
47,0,3,0,1,5.882466973966715
48,0,4,0,1,5.882466969425564
49,0,5,0,1,5.888297312701045
50,0,6,0,1,4.14706409795622
51,0,7,0,1,4.147064100950791
52,0,8,0,1,4.1470161983177345
53,0,9,0,1,4.147016200131801
54,1,2,0,1,5.881619727334734
55,1,3,0,1,5.882412396157429
56,1,4,0,1,5.882412391606138
57,1,5,0,1,5.888439188898869
58,1,6,0,1,4.148500892702092
59,1,7,0,1,4.148500895698735
60,1,8,0,1,4.148453607434058
61,1,9,0,1,4.148453609247315
62,2,3,0,1,4.3313928714673775
63,2,4,0,1,4.331392872974888
64,2,5,0,1,5.888439185647454
65,2,6,0,1,4.148453603118082
66,2,7,0,1,4.148453602947958
67,2,8,0,1,4.148500889709025
68,2,9,0,1,4.148500892433304
69,3,4,0,1,4.330580565241357
70,3,5,0,1,5.888297313836317
71,3,6,0,1,4.147016186916295
72,3,7,0,1,4.147016186748229
73,3,8,0,1,4.147064087885565
74,3,9,0,1,4.147064090606402
75,4,5,0,1,5.88829730596847
76,4,6,0,1,4.147016182845911
77,4,7,0,1,4.147016182677844
78,4,8,0,1,4.1470640838074875
79,4,9,0,1,4.147064086528325
80,5,6,0,1,4.226677887120598
81,5,7,0,1,4.226677884323809
82,5,8,0,1,4.2266778861224195
83,5,9,0,1,4.2266778807176575
84,6,7,0,1,5.065230221117104
85,6,8,0,1,5.065170385251144
86,6,9,0,1,5.0651703848250955
87,7,8,0,1,5.065170384405784
88,7,9,0,1,5.065170385178634
89,8,9,0,1,5.065230218802674
90,0,1,0,2,5.897522516920093
91,0,2,0,2,1.5424386108834464e-06
92,0,3,0,2,3.634205100316627e-16
93,0,4,0,2,5.897420573967161
94,0,5,0,2,5.779543237200115e-16
95,0,6,0,2,4.214793784647245
96,0,7,0,2,5.472852739487547
97,0,8,0,2,5.472310025746979
98,0,9,0,2,5.47231002716267
99,1,2,0,2,5.641434340269836e-17
100,1,3,0,2,1.5424861989459615e-06
101,1,4,0,2,5.896258099895565
102,1,5,0,2,1.542488828281743e-06
103,1,6,0,2,4.213203068419922
104,1,7,0,2,5.473123337387809
105,1,8,0,2,5.472578914534212
106,1,9,0,2,5.472578915944428
107,2,3,0,2,5.715602069791091
108,2,4,0,2,5.896360705856341
109,2,5,0,2,5.7156020655191
110,2,6,0,2,5.477825035933284
111,2,7,0,2,5.472578916428936
112,2,8,0,2,5.473123338543611
113,2,9,0,2,5.473123336393936
114,3,4,0,2,5.897522535277199
115,3,5,0,2,5.714614064227453
116,3,6,0,2,5.477818441086844
117,3,7,0,2,5.472310019585904
118,3,8,0,2,5.472852732561008
119,3,9,0,2,5.4728527288418505
120,4,5,0,2,5.714614069156129
121,4,6,0,2,5.47781844393582
122,4,7,0,2,5.472310022300708
123,4,8,0,2,5.472852735285334
124,4,9,0,2,5.472852731566178
125,5,6,0,2,5.464447110427305
126,5,7,0,2,4.141175058537475
127,5,8,0,2,4.141175057993681
128,5,9,0,2,4.141175058882995
129,6,7,0,2,3.098751640017246e-17
130,6,8,0,2,2.2478036471631945e-06
131,6,9,0,2,2.2478130352160627e-06
132,7,8,0,2,2.247794259131498e-06
133,7,9,0,2,2.2478036471629066e-06
134,8,9,0,2,2.72727243944752e-17
135,0,1,0,3,5.89742057749537
136,0,2,0,3,4.330782649227289
137,0,3,0,3,4.330580579935951
138,0,4,0,3,5.897522512427164
139,0,5,0,3,4.33058057648347
140,0,6,0,3,5.4785084736341565
141,0,7,0,3,4.147064101079971
142,0,8,0,3,4.147016199570355
143,0,9,0,3,4.147016200780032
144,1,2,0,3,4.331595158717346
145,1,3,0,3,4.331392870291213
146,1,4,0,3,5.896360706234971
147,1,5,0,3,4.331392866835673
148,1,6,0,3,5.478514494573745
149,1,7,0,3,4.148500895826046
150,1,8,0,3,4.148453608683661
151,1,9,0,3,4.148453609896549
152,2,3,0,3,5.88241239884987
153,2,4,0,3,5.896258099520583
154,2,5,0,3,5.882412407941134
155,2,6,0,3,4.213167384040257
156,2,7,0,3,4.148453602967715
157,2,8,0,3,4.148500889968832
158,2,9,0,3,4.148500886453845
159,3,4,0,3,5.8974205968292415
160,3,5,0,3,5.882466982042264
161,3,6,0,3,4.21475749513046
162,3,7,0,3,4.147016186764228
163,3,8,0,3,4.147064088141924
164,3,9,0,3,4.14706408462975
165,4,5,0,3,5.882466986664396
166,4,6,0,3,4.2147574880974235
167,4,7,0,3,4.147016182693844
168,4,8,0,3,4.147064084063848
169,4,9,0,3,4.147064080551673
170,5,6,0,3,5.46399394517271
171,5,7,0,3,4.226677883922812
172,5,8,0,3,4.22667788432381
173,5,9,0,3,4.226677886562666
174,6,7,0,3,5.065230220629665
175,6,8,0,3,5.065170387101109
176,6,9,0,3,5.065170384711462
177,7,8,0,3,5.065170386255744
178,7,9,0,3,5.065170384606311
179,8,9,0,3,5.065230219427932
180,0,1,0,4,5.714614097854832
181,0,2,0,4,5.8892035389995385
182,0,3,0,4,5.889203546756335
183,0,4,0,4,1.5424494491604231e-06
184,0,5,0,4,5.714614082577793
185,0,6,0,4,5.4785084756558575
186,0,7,0,4,5.472852738940465
187,0,8,0,4,5.472310025636711
188,0,9,0,4,5.472310025121457
189,1,2,0,4,5.889344889590305
190,1,3,0,4,5.889344897342522
191,1,4,0,4,2.121211906610123e-17
192,1,5,0,4,5.715602074075102
193,1,6,0,4,5.478514496594904
194,1,7,0,4,5.473123336839415
195,1,8,0,4,5.472578914416702
196,1,9,0,4,5.472578913911837
197,2,3,0,4,5.8893448940858235
198,2,4,0,4,5.716590397790163
199,2,5,0,4,1.5424798347571428e-06
200,2,6,0,4,4.213167380309469
201,2,7,0,4,5.472578915860423
202,2,8,0,4,5.473123339390859
203,2,9,0,4,5.473123338150053
204,3,4,0,4,5.7156020740409135
205,3,5,0,4,8.416355327992969e-17
206,3,6,0,4,4.214757491397435
207,3,7,0,4,5.472310019016718
208,3,8,0,4,5.472852733398012
209,3,9,0,4,5.472852730634007
210,4,5,0,4,1.5596133353846237e-16
211,4,6,0,4,4.214757484364398
212,4,7,0,4,5.472310021731521
213,4,8,0,4,5.472852736122337
214,4,9,0,4,5.4728527333583346
215,5,6,0,4,5.463993945210289
216,5,7,0,4,4.141175058430811
217,5,8,0,4,4.141175058537476
218,5,9,0,4,4.141175060386254
219,6,7,0,4,2.7272726660531898e-17
220,6,8,0,4,2.2478230102639005e-06
221,6,9,0,4,2.2477964567672485e-06
222,7,8,0,4,2.247813622179974e-06
223,7,9,0,4,2.247787068774166e-06
224,8,9,0,4,8.688020300053062e-17
225,0,1,0,5,5.882466972183597
226,0,2,0,5,5.888297294533177
227,0,3,0,5,5.888297298976011
228,0,4,0,5,4.3307826502819795
229,0,5,0,5,5.882466983059593
230,0,6,0,5,4.214793788095755
231,0,7,0,5,4.147064100694432
232,0,8,0,5,4.147016199586356
233,0,9,0,5,4.147016196452741
234,1,2,0,5,5.888439170729372
235,1,3,0,5,5.888439175175689
236,1,4,0,5,4.331595159774893
237,1,5,0,5,5.882412405248691
238,1,6,0,5,4.213203071862818
239,1,7,0,5,4.148500895438929
240,1,8,0,5,4.148453608703418
241,1,9,0,5,4.148453605564995
242,2,3,0,5,5.888439171924271
243,2,4,0,5,5.881619725547749
244,2,5,0,5,4.331392868011838
245,2,6,0,5,5.4778250264073876
246,2,7,0,5,4.148453601698356
247,2,8,0,5,4.148500890096143
248,2,9,0,5,4.148500890327317
249,3,4,0,5,5.881674979478968
250,3,5,0,5,4.330580560283471
251,3,6,0,5,5.477818431555147
252,3,7,0,5,4.147016185495609
253,3,8,0,5,4.147064088271106
254,3,9,0,5,4.1470640884994685
255,4,5,0,5,4.330580569373051
256,4,6,0,5,5.477818434404122
257,4,7,0,5,4.147016181425225
258,4,8,0,5,4.147064084193029
259,4,9,0,5,4.147064084421392
260,5,6,0,5,5.4644471137647335
261,5,7,0,5,4.2266778861224195
262,5,8,0,5,4.2266778839228145
263,5,9,0,5,4.226677886797377
264,6,7,0,5,5.065230220625849
265,6,8,0,5,5.065170384309705
266,6,9,0,5,5.065170387059313
267,7,8,0,5,5.065170384204553
268,7,9,0,5,5.065170386954159
269,8,9,0,5,5.065230220418225
270,0,1,0,6,5.715602096717142
271,0,2,0,6,5.897522509122514
272,0,3,0,6,5.8974205812341
273,0,4,0,6,2.2128234507395291e-16
274,0,5,0,6,5.715602075182071
275,0,6,0,6,5.472852738260273
276,0,7,0,6,4.214793788298379
277,0,8,0,6,5.477818442329676
278,0,9,0,6,4.214757469021367
279,1,2,0,6,5.896360702934551
280,1,3,0,6,5.896258107160076
281,1,4,0,6,1.5424777214803842e-06
282,1,5,0,6,5.7165903890957575
283,1,6,0,6,5.473123336147004
284,1,7,0,6,4.213203072065114
285,1,8,0,6,5.4778250387398355
286,1,9,0,6,4.213167373093219
287,2,3,0,6,5.896360701914397
288,2,4,0,6,5.715602074729192
289,2,5,0,6,2.491710631474985e-16
290,2,6,0,6,5.4725789159240685
291,2,7,0,6,5.477825033174784
292,2,8,0,6,4.213203073752294
293,2,9,0,6,5.4785144927631935
294,3,4,0,6,5.714614073416602
295,3,5,0,6,1.5424556899483956e-06
296,3,6,0,6,5.4723100190706475
297,3,7,0,6,5.477818438323118
298,3,8,0,6,4.214793805156858
299,3,9,0,6,5.478508473392223
300,4,5,0,6,1.542447212670107e-06
301,4,6,0,6,5.472310021785452
302,4,7,0,6,5.477818441172095
303,4,8,0,6,4.214793798116228
304,4,9,0,6,5.478508476243619
305,5,6,0,6,4.141175059350636
306,5,7,0,6,5.4644471094111635
307,5,8,0,6,5.464447112427322
308,5,9,0,6,5.463993946461948
309,6,7,0,6,5.064437593655842
310,6,8,0,6,5.064473670210847
311,6,9,0,6,5.064368735611136
312,7,8,0,6,5.064473671594115
313,7,9,0,6,5.064368735783278
314,8,9,0,6,5.064406389854426
315,0,1,0,7,5.881674983995269
316,0,2,0,7,5.897420575445873
317,0,3,0,7,5.8975225084706295
318,0,4,0,7,4.330580581441358
319,0,5,0,7,5.881675002901186
320,0,6,0,7,4.147064101832339
321,0,7,0,7,5.478508473978132
322,0,8,0,7,4.214757472268824
323,0,9,0,7,5.477818436940492
324,1,2,0,7,5.896258101378212
325,1,3,0,7,5.896360702293028
326,1,4,0,7,4.331392871798724
327,1,5,0,7,5.881619745281646
328,1,6,0,7,4.148500896581638
329,1,7,0,7,5.478514494919781
330,1,8,0,7,4.213167376339072
331,1,9,0,7,5.477825033355698
332,2,3,0,7,5.896258106785091
333,2,4,0,7,5.882412394298578
334,2,5,0,7,4.331595155908826
335,2,6,0,7,4.148453600354138
336,2,7,0,7,4.213167386566651
337,2,8,0,7,5.47851448815895
338,2,9,0,7,4.2132030779356935
339,3,4,0,7,5.8824669684082345
340,3,5,0,7,4.330782629045574
341,3,6,0,7,4.147016184155047
342,3,7,0,7,4.2147574976611315
343,3,8,0,7,5.478508468788845
344,3,9,0,7,4.214793809344206
345,4,5,0,7,4.3307826381355605
346,4,6,0,7,4.1470161800846626
347,4,7,0,7,4.214757490628096
348,4,8,0,7,5.4785084716402395
349,4,9,0,7,4.214793802303577
350,5,6,0,7,4.22667788568105
351,5,7,0,7,5.4639939437600455
352,5,8,0,7,5.463993947299764
353,5,9,0,7,5.4644471137647335
354,6,7,0,7,5.064406389310289
355,6,8,0,7,5.0643687410534906
356,6,9,0,7,5.064473669689455
357,7,8,0,7,5.064368737524995
358,7,9,0,7,5.0644736710727205
359,8,9,0,7,5.0644375948975
360,0,1,0,8,5.889203544998038
361,0,2,0,8,1.1567104389638623e-16
362,0,3,0,8,1.5424412426298058e-06
363,0,4,0,8,5.8892035422725115
364,0,5,0,8,1.5424170958712224e-06
365,0,6,0,8,5.47285273946735
366,0,7,0,8,4.214793783338148
367,0,8,0,8,4.214757472178173
368,0,9,0,8,5.477818444425864
369,1,2,0,8,1.5424660971793999e-06
370,1,3,0,8,1.2714784976713383e-16
371,1,4,0,8,5.889344892865702
