,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,4.14706409795622
6,0,7,4.147064100694432
7,0,8,4.147016198317735
8,0,9,4.147016196452741
9,1,2,0.0
10,1,3,0.0
11,1,4,0.0
12,1,5,0.0
13,1,6,4.148500892702092
14,1,7,4.148500895438929
15,1,8,4.148453607434058
16,1,9,4.148453605564995
17,2,3,0.0
18,2,4,0.0
19,2,5,0.0
20,2,6,4.148453600354138
21,2,7,4.148453601698356
22,2,8,4.148500889709025
23,2,9,4.148500886453845
24,3,4,0.0
25,3,5,0.0
26,3,6,4.147016184155047
27,3,7,4.147016185495609
28,3,8,4.147064087885565
29,3,9,4.14706408462975
30,4,5,0.0
31,4,6,4.147016180084663
32,4,7,4.147016181425225
33,4,8,4.147064083807488
34,4,9,4.147064080551673
35,5,6,4.1411750558706295
36,5,7,4.141175057993681
37,5,8,4.141175057993681
38,5,9,4.141175055352609
39,6,7,0.0
40,6,8,0.0
41,6,9,0.0
42,7,8,0.0
43,7,9,0.0
44,8,9,0.0
