,neighbor_num,isite,atom,x,y,z,front_index
0,0,8,Si1,0.0,0.0,0.0,
1,1,28,O1,-0.7463050279906556,-1.327258159625537,-0.5267566071007536,0.0
2,1,34,O1,0.0,0.0,1.608675950677414,0.0
3,1,32,O1,-0.7736869161627163,1.3005857067205435,-0.5460832764498278,0.0
4,1,37,O1,1.5157510393453952,5.551115123125783e-17,-0.5388293802413135,0.0
5,2,4,Si1,-2.031533294213651,-1.6710510394721108,-1.433895719761382,1.0
6,2,11,Si1,-0.11141739008788198,0.48867155073781554,3.137424913767594,2.0
7,2,6,Si1,-1.6458573014275917,2.50394478999347,-1.161678101253333,3.0
8,2,11,Si1,2.918872576344622,0.4886715596367883,-1.1558684281016154,4.0
9,3,22,O1,-2.219971519513357,-3.2649591283148816,-1.5668990849862006,5.0
10,3,26,O1,-1.8209706554860992,-1.028336227451144,-2.8933092507213276,5.0
11,3,25,O1,-3.336115636838954,-1.028336227451144,-0.7466625784714985,5.0
12,3,31,O1,-0.0244305870415632,2.093741393465247,3.198821891567125,6.0
13,3,39,O1,1.09046993725647,-0.1635251421717412,3.985740370483545,6.0
14,3,37,O1,-1.5145389270871097,-8.898973002935406e-09,3.7544639616278968,6.0
15,3,30,O1,-1.0005286624674246,3.906908684529517,-0.7061925938880246,7.0
16,3,18,O1,-3.1582016284325523,2.413997568546749,-0.6210874102642382,7.0
17,3,17,O1,-1.6430566470796983,2.41399756854675,-2.7677340825140675,7.0
18,3,31,O1,3.0058593793909423,2.0937414023642207,-1.094471450302085,8.0
19,3,39,O1,4.120759903688974,-0.16352513327276852,-0.30755297138566573,8.0
20,3,34,O1,3.0302899664325054,8.898973447024616e-09,-2.6846173911917948,8.0
21,4,2,Si1,-3.2606992720196173,-4.251560150359946,-2.3014649786420263,9.0
22,4,3,Si1,-1.7884776699594611,-0.7602117414009995,-4.478407807012355,10.0
23,4,3,Si1,-4.8187676326651685,-0.7602117414009997,-0.1851144625127002,11.0
24,4,7,Si1,0.6208980519186035,3.4967052880012948,3.654307398932434,12.0
25,4,13,Si1,2.3991473315379577,-0.30995302366643074,4.909430333898617,13.0
26,4,8,Si1,-3.030289966432504,-8.898972565029865e-09,4.293293341869209,14.0
27,4,10,Si1,-0.9135418558775106,5.51197851379637,-0.6447956135873554,15.0
28,4,1,Si1,-4.660965695445513,2.2423904709560953,-0.07373478540191947,16.0
29,4,1,Si1,-1.6306757476469957,2.2423904353602024,-4.3670281404233595,17.0
30,4,7,Si1,3.6511880183511094,3.4967052969002683,-0.6389859429367752,18.0
31,4,13,Si1,5.4294372979704635,-0.3099530147674594,0.6161369920294066,19.0
32,4,8,Si1,3.030289962705708,8.508455288020504e-17,-4.293293344499655,20.0
