,neighbor_num,isite,atom,x,y,z,front_index
0,0,31,Si1,0.0,0.0,0.0,
1,1,70,O1,1.5224879400904823,-3.6793120599923056e-17,-0.5290671832987303,0.0
2,1,43,O1,-0.7547919533282241,1.3158102927607112,-0.5439479206419005,0.0
3,1,95,O1,5.551115123125783e-17,4.356234440774558e-17,1.6097366005928648,0.0
4,1,76,O1,-0.7505560294157176,-1.3156394603138786,-0.5454964939202918,0.0
5,2,12,Si1,2.928573565835715,-0.7658569638030366,-0.35751841232646164,1.0
6,2,3,Si1,-0.5829349739593326,2.8922626484558673,-0.25899435033928087,2.0
7,2,27,Si1,0.24075246895870794,0.7349410037156189,3.0201722728416955,3.0
8,2,14,Si1,-0.575067289081084,-2.3746832152026864,-1.7482253388286435,4.0
9,3,62,O1,4.12677089506258,0.3062428770081129,-0.4047922062603635,5.0
10,3,74,O1,3.1040623045842914,-1.8249007238613537,-1.5602472656467437,5.0
11,3,39,O1,2.942268569151027,-1.5524844476794184,1.046468676435068,5.0
12,3,47,O1,-1.2308771870529698,3.238551791547885,1.1730877720753625,6.0
13,3,35,O1,0.9865837845577041,3.247631817772022,-0.23900221815067013,6.0
14,3,39,O1,-1.3094025346438314,3.7499842482749934,-1.410490328835332,6.0
15,3,91,O1,1.3043281204442372,-0.09715415911485703,3.895220076396269,7.0
16,3,85,O1,0.8233391821771969,2.215229764224853,2.7715013586254207,7.0
17,3,80,O1,-1.1568946133569227,0.8280204978785219,3.815190945525513,7.0
18,3,72,O1,0.8310183366641506,-3.140540179005722,-1.576676567856376,8.0
19,3,37,O1,-0.5887622923963955,-1.5880557313263046,-3.152212427590173,8.0
20,3,64,O1,-1.7732646183079468,-3.446783056013836,-1.7009515448947423,8.0
21,4,8,Si1,4.703637665260269,1.7888444475093637,-0.15620157830256232,9.0
22,4,29,Si1,2.353506276754631,-3.1405401790057232,-2.1057437511551056,10.0
23,4,3,Si1,3.6687361298355263,-2.4102060474985447,2.197964654931119,11.0
24,4,23,Si1,-1.754877874911203,4.400465556189091,2.156699100054379,12.0
25,4,4,Si1,2.434583472868601,3.8275991344162237,0.14852555161460967,13.0
26,4,12,Si1,-1.3230975379591432,4.536611732151376,-2.8144774175968617,14.0
27,4,23,Si1,2.4967932288836554,-0.9020031397653209,4.613658105324779,15.0
28,4,21,Si1,2.041379024693806,3.211272853621397,3.115277732067693,16.0
29,4,18,Si1,-1.7555704125870437,0.8142913391985332,5.30831858855341,17.0
30,4,29,Si1,2.353506276754631,-3.1405401790057232,-2.1057437511551056,18.0
31,4,1,Si1,-1.3152298546669519,-0.7303341366766887,-4.303708414498156,19.0
32,4,10,Si1,-2.350131388505637,-4.929384626515086,-1.9495421728525428,20.0
