,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.7648441090434126
1,0,2,0,0,4.736271416137943
2,0,3,0,0,3.696595885669235
3,0,4,0,0,4.6031703885424315
4,0,5,0,0,3.7084571147048777
5,0,6,0,0,4.947945825607221
6,0,7,0,0,4.9479458192931105
7,0,8,0,0,4.7938591576732765
8,0,9,0,0,2.7974176568763434
9,0,10,0,0,4.961185120721681
10,0,11,0,0,5.399740705647445
11,0,12,0,0,2.2167898173431237
12,0,13,0,0,5.02380334294006
13,0,14,0,0,3.96943857400889
14,0,15,0,0,4.317145412788535
15,0,16,0,0,2.1448753114197516
16,0,17,0,0,6.2971701606920645
17,0,18,0,0,4.545697277581221
18,0,19,0,0,3.0427651109210516
19,0,20,0,0,2.314512853098758
20,0,21,0,0,5.111498328169806
21,0,22,0,0,2.2973504975682513
22,0,23,0,0,4.901722621519759
23,0,24,0,0,2.908907688319988
24,0,25,0,0,4.315512058674212
25,0,26,0,0,3.8026983721336873
26,0,27,0,0,4.900348540692423
27,0,28,0,0,5.961975074265863
28,0,29,0,0,3.7403397207918045
29,0,30,0,0,6.549783420104838
30,0,31,0,0,4.5742871293970575
31,1,2,0,0,3.5305619588785846
32,1,3,0,0,2.590151710988973
33,1,4,0,0,2.9019104370151667
34,1,5,0,0,3.7034353312016344
35,1,6,0,0,5.725913467241453
36,1,7,0,0,5.725913462039389
37,1,8,0,0,5.449357222803294
38,1,9,0,0,4.177756796362709
39,1,10,0,0,4.5280648665818255
40,1,11,0,0,4.998801151534276
41,1,12,0,0,3.082745626390614
42,1,13,0,0,2.2947129759454015
43,1,14,0,0,5.239577041310685
44,1,15,0,0,5.106294313306573
45,1,16,0,0,2.6413412976299284
46,1,17,0,0,4.383158394564676
47,1,18,0,0,4.544661959797352
48,1,19,0,0,2.890460164298839
49,1,20,0,0,2.5538663910103683
50,1,21,0,0,4.283285217741062
51,1,22,0,0,3.6143288597063354
52,1,23,0,0,5.063222918690272
53,1,24,0,0,2.574662527445146
54,1,25,0,0,3.897961496324838
55,1,26,0,0,5.052181842273896
56,1,27,0,0,5.1315538323571035
57,1,28,0,0,4.550831997733425
58,1,29,0,0,3.1395246340559075
59,1,30,0,0,4.558269912689179
60,1,31,0,0,5.859160257686405
61,2,3,0,0,2.8905924376551537
62,2,4,0,0,3.971033423013959
63,2,5,0,0,4.066201417337763
64,2,6,0,0,3.783109320814687
65,2,7,0,0,3.783109320503556
66,2,8,0,0,3.0575530175338694
67,2,9,0,0,4.52849027285569
68,2,10,0,0,4.211431385246139
69,2,11,0,0,4.894815771653759
70,2,12,0,0,5.105801325304741
71,2,13,0,0,3.805891354796185
72,2,14,0,0,5.126872920463426
73,2,15,0,0,3.0835076859487516
74,2,16,0,0,4.849471719923344
75,2,17,0,0,2.8896006834515986
76,2,18,0,0,5.198663348557279
77,2,19,0,0,4.384556051837837
78,2,20,0,0,5.063102207877072
79,2,21,0,0,2.9812034506377634
80,2,22,0,0,5.108590636352942
81,2,23,0,0,2.553867860948547
82,2,24,0,0,3.9535840184135287
83,2,25,0,0,5.043619096691978
84,2,26,0,0,3.899418648256905
85,2,27,0,0,3.2586399037649945
86,2,28,0,0,4.496335696217765
87,2,29,0,0,4.556756869075849
88,2,30,0,0,3.1542278870347387
89,2,31,0,0,5.29786170161811
90,3,4,0,0,1.8551659793600652
91,3,5,0,0,2.0083080479734243
92,3,6,0,0,5.10152778326281
93,3,7,0,0,5.101527776624903
94,3,8,0,0,5.399740704123154
95,3,9,0,0,4.739913269941993
96,3,10,0,0,4.6953117320358935
97,3,11,0,0,4.793859157673275
98,3,12,0,0,3.9688620154528134
99,3,13,0,0,2.8764252224802713
100,3,14,0,0,4.3862565587623
101,3,15,0,0,5.591831015692465
102,3,16,0,0,3.042765110921053
103,3,17,0,0,4.545697277581216
104,3,18,0,0,6.297170160692066
105,3,19,0,0,2.144875311419751
106,3,20,0,0,3.868529653468137
107,3,21,0,0,3.9905994727160454
108,3,22,0,0,4.77607998742395
109,3,23,0,0,3.7045727555680164
110,3,24,0,0,2.707983945278158
111,3,25,0,0,5.09661679325272
112,3,26,0,0,5.016790661348439
113,3,27,0,0,3.877343210300849
114,3,28,0,0,4.5742871293970575
115,3,29,0,0,4.37549173270664
116,3,30,0,0,4.527928784309416
117,3,31,0,0,5.96197507426586
118,4,5,0,0,2.119556438364474
119,4,6,0,0,5.08182853092829
