,neighbor_num,isite,atom,x,y,z,front_index
0,0,7,Si1,0.0,0.0,0.0,
1,1,25,O1,-0.761953607522467,1.312414786024654,-0.5331856364699425,0.0
2,1,16,O1,0.0,-1.5407439555097887e-32,1.6085063859153619,0.0
3,1,30,O1,1.5175657714223258,-1.8488927466117464e-32,-0.5331856364699428,0.0
4,1,26,O1,-0.7556121638998587,-1.312414786024654,-0.5421351129754756,0.0
5,2,0,Si1,-1.0279888376889819,2.706391999482018,-1.2903815016213525,1.0
6,2,3,Si1,-0.27050060934998754,-0.46982965111007785,3.12289811621818,2.0
7,2,10,Si1,2.856672680621846,0.4698296511100783,-1.290381501621353,3.0
8,2,8,Si1,-1.5581832335828762,-2.7063919994820185,-0.5421351129754755,4.0
9,3,23,O1,0.3111180715105366,3.1762216505920966,-2.0475773667727615,5.0
10,3,12,O1,-1.452753825422069,3.824673173667988,-0.2150607521759335,5.0
11,3,15,O1,-2.208365989321928,2.512258387643334,-2.3657022510667707,5.0
12,3,20,O1,-1.0730716790330042,-1.8638068645674415,3.12289811621818,6.0
13,3,19,O1,-1.144225068655869,0.6484515230758916,3.8800939813695887,6.0
14,3,27,O1,1.135294310288924,-0.6639632629487628,3.8800939813695896,6.0
15,3,31,O1,3.2814376683549336,-0.6484515230758917,-2.365702251066772,7.0
16,3,17,O1,4.037049832254791,0.6639632629487627,-0.215060752175934,7.0
17,3,33,O1,2.59063745045533,1.8638068645674422,-2.0475773667727624,7.0
18,3,22,O1,-1.828683842932863,-3.176221650592096,0.9722566173273431,8.0
19,3,29,O1,-2.9639781532217873,-2.512258387643333,-1.2993309781268847,8.0
20,3,24,O1,-0.6844587742769942,-3.824673173667988,-1.2993309781268847,8.0
21,4,5,Si1,1.828683842932862,3.1762216505920966,-2.5807630032427045,9.0
22,4,2,Si1,-2.326478284727951,4.9429543478539575,0.5421351129754762,10.0
23,4,9,Si1,-3.61416090896084,2.706391999482018,-3.1228981162181793,11.0
24,4,5,Si1,-1.828683842932863,-3.1762216505920966,2.5807630032427054,12.0
25,4,4,Si1,-1.5689900563889563,1.7667326972618622,4.95541473081501,13.0
26,4,6,Si1,2.3156714619218706,-0.46982965111007824,4.955414730815008,14.0
27,4,9,Si1,4.155162127660814,-1.7667326972618627,-3.12289811621818,15.0
28,4,2,Si1,5.442844751893703,0.46982965111007774,0.5421351129754748,16.0
29,4,5,Si1,1.828683842932862,3.1762216505920966,-2.5807630032427045,17.0
30,4,5,Si1,-1.828683842932863,-3.1762216505920966,2.5807630032427054,18.0
31,4,4,Si1,-4.144355304854734,-2.706391999482018,-2.374651727572302,19.0
32,4,6,Si1,-0.25969378654390673,-4.942954347853957,-2.3746517275723042,20.0
