,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,7.293996511043382e-30
1,0,2,0,0,3.5706992874202803
2,0,3,0,0,3.5745105063260803
3,0,4,0,0,0.1871144567164562
4,0,5,0,0,4.410692118996752
5,0,6,0,0,4.408889340792172
6,0,7,0,0,4.410692118996751
7,0,8,0,0,0.8072098958429711
8,0,9,0,0,5.289729115243772
9,0,10,0,0,0.8072098958429691
10,0,11,0,0,5.094662183005115
11,0,12,0,0,2.356347761611623
12,0,13,0,0,3.546935002019686
13,0,14,0,0,2.527350289680718
14,0,15,0,0,2.527350289680719
15,0,16,0,0,5.251005226272915
16,0,17,0,0,5.251005226272913
17,0,18,0,0,4.694943056446124
18,0,19,0,0,5.251005226272917
19,0,20,0,0,2.5129863606188643
20,0,21,0,0,2.5128551780931563
21,0,22,0,0,5.32264959661591
22,0,23,0,0,3.9331084769742075
23,0,24,0,0,3.2124624656951895
24,0,25,0,0,2.400294917048036
25,0,26,0,0,3.212072819440145
26,0,27,0,0,3.212462465695189
27,1,2,0,0,3.570699287420282
28,1,3,0,0,3.5745105063260807
29,1,4,0,0,0.18711445671645707
30,1,5,0,0,4.410692118996755
31,1,6,0,0,4.408889340792173
32,1,7,0,0,4.410692118996755
33,1,8,0,0,0.8072098958429718
34,1,9,0,0,5.289729115243774
35,1,10,0,0,0.8072098958429696
36,1,11,0,0,5.094662183005119
37,1,12,0,0,2.356347761611623
38,1,13,0,0,3.5469350020196866
39,1,14,0,0,2.5273502896807174
40,1,15,0,0,2.527350289680719
41,1,16,0,0,5.251005226272919
42,1,17,0,0,5.251005226272916
43,1,18,0,0,4.694943056446125
44,1,19,0,0,5.25100522627292
45,1,20,0,0,2.512986360618865
46,1,21,0,0,2.5128551780931567
47,1,22,0,0,5.322649596615914
48,1,23,0,0,3.93310847697421
49,1,24,0,0,3.2124624656951895
50,1,25,0,0,2.4002949170480363
51,1,26,0,0,3.2120728194401456
52,1,27,0,0,3.2124624656951895
53,2,3,0,0,2.1524565730885743
54,2,4,0,0,3.993737711299597
55,2,5,0,0,3.9776383270920035
56,2,6,0,0,2.1718378544698624
57,2,7,0,0,3.9776383270920044
58,2,8,0,0,5.047860983341971
59,2,9,0,0,2.865601471468685
60,2,10,0,0,5.04786098334197
61,2,11,0,0,5.033881408653524
62,2,12,0,0,1.5062002741773808
63,2,13,0,0,1.4933551075982745
64,2,14,0,0,2.3045518659126416
65,2,15,0,0,2.304551865912644
66,2,16,0,0,1.7695936736838864
67,2,17,0,0,1.7695936736838855
68,2,18,0,0,4.537892169246247
69,2,19,0,0,1.7695936736838864
70,2,20,0,0,2.8017070481404787
71,2,21,0,0,3.8349647717145974
72,2,22,0,0,1.6586441506260707
73,2,23,0,0,3.8470377418709365
74,2,24,0,0,1.4723559602311302
75,2,25,0,0,1.5476822505384504
76,2,26,0,0,0.25261762110642016
77,2,27,0,0,1.4723559602311307
78,3,4,0,0,4.101376882417751
79,3,5,0,0,3.6355028174227657
80,3,6,0,0,4.10137688241775
81,3,7,0,0,3.6355028174227684
82,3,8,0,0,5.489125557692771
83,3,9,0,0,5.050743933316136
84,3,10,0,0,5.489125557692765
85,3,11,0,0,4.5298392517463055
86,3,12,0,0,1.5062376050330248
87,3,13,0,0,3.4917775798235295
88,3,14,0,0,1.506237605033025
89,3,15,0,0,1.5062376050330277
90,3,16,0,0,4.5446533565208105
91,3,17,0,0,4.544653356520809
92,3,18,0,0,3.565063841238064
93,3,19,0,0,4.544653356520806
94,3,20,0,0,3.8761699564291954
95,3,21,0,0,2.7830363612642253
96,3,22,0,0,2.7830363612642257
97,3,23,0,0,1.6656079987379826
98,3,24,0,0,0.25274475881289765
