,neighbor_num,isite,atom,x,y,z,front_index
0,0,5,Si1,0.0,0.0,0.0,
1,1,27,O1,0.0,0.0,1.6279346824542564,0.0
2,1,24,O1,1.530376474739185,0.0,-0.5455257608290406,0.0
3,1,15,O1,-0.7724386134118344,-1.3285999999999998,-0.5396552950577275,0.0
4,1,14,O1,-0.7724386134118344,1.3285999999999998,-0.5396552950577275,0.0
5,2,8,Si1,-0.9370703404759386,0.0,2.9592238618214997,1.0
6,2,4,Si1,3.061187754638325,0.0,-1.08983021193779,2.0
7,2,1,Si1,-2.281270492475274,-1.8745999999999992,-0.8164551384576988,3.0
8,2,0,Si1,-2.281270492475274,1.8745999999999992,-0.8164551384576988,4.0
9,3,20,O1,-0.6218365995089266,1.33,3.8446734090323744,5.0
10,3,21,O1,-0.6218365995089266,-1.33,3.8446734090323744,5.0
11,3,26,O1,-2.5046081628859023,0.0,2.5196139467669942,5.0
12,3,13,O1,3.318817058664032,-1.3285999999999998,-1.9962056257044423,6.0
13,3,12,O1,3.318817058664032,1.3285999999999998,-1.9962056257044423,6.0
14,3,26,O1,4.0899367630906704,0.0,0.17185390381613175,6.0
15,3,21,O1,-2.7958623992814244,-1.33,-2.2618751924219334,7.0
16,3,13,O1,-3.275727867312541,-1.3285999999999998,0.35155441724641967,7.0
17,3,11,O1,-2.281053089895297,-3.5,-0.8158444835975533,7.0
18,3,20,O1,-2.7958623992814244,1.33,-2.2618751924219334,8.0
19,3,10,O1,-2.281053089895297,3.5,-0.8158444835975533,8.0
20,3,12,O1,-3.275727867312541,1.3285999999999998,0.35155441724641967,8.0
21,4,0,Si1,-0.10724469270277659,1.8745999999999992,5.290093462996608,9.0
22,4,1,Si1,-0.10724469270277659,-1.8745999999999992,5.290093462996608,10.0
23,4,4,Si1,-3.533357171338247,0.0,1.2579298310130718,11.0
24,4,1,Si1,4.313274433501298,-1.8745999999999992,-3.1642151814085606,12.0
25,4,0,Si1,4.313274433501298,1.8745999999999992,-3.1642151814085606,13.0
26,4,8,Si1,5.657474585500634,0.0,0.6114638188706378,14.0
27,4,8,Si1,-3.1110961402484367,0.0,-3.147324739632809,15.0
28,4,4,Si1,-3.5333571713382472,0.0,1.2579298310130715,16.0
29,4,3,Si1,-2.2808356873153195,-5.125399999999999,-0.815233828737408,17.0
30,4,8,Si1,-3.1110961402484367,0.0,-3.147324739632809,18.0
31,4,2,Si1,-2.2808356873153195,5.1254,-0.815233828737408,19.0
32,4,4,Si1,-3.5333571713382472,0.0,1.2579298310130715,20.0
