,neighbor_num,isite,atom,x,y,z,front_index
0,0,13,Si1,0.0,0.0,0.0,
1,1,42,O1,-1.1102230246251565e-16,0.0,1.6119168940702113,0.0
2,1,37,O1,-0.7656581596988663,-1.2974219614427147,-0.5647583852309619,0.0
3,1,50,O1,-0.7471484300250666,1.3295640499120658,-0.5165722945497029,0.0
4,1,46,O1,1.512967578375041,0.0,-0.5488887643709643,0.0
5,2,9,Si1,-0.07657417319234006,1.1759176905078348,2.7108783783973314,1.0
6,2,4,Si1,-2.070638521715836,-1.938576449572877,-1.2560723617119,2.0
7,2,15,Si1,-0.8103537455271689,2.3044758210973115,-1.7965607325055173,3.0
8,2,9,Si1,3.0436042689744656,-0.44202153726050386,-0.7718595021050055,4.0
9,3,34,O1,0.5323706750829528,0.6607467967857329,4.109453870536296,5.0
10,3,32,O1,0.7715123635494193,2.4442980821841624,2.1960406949673237,5.0
11,3,46,O1,-1.607210863791765,1.6179392277683387,2.9338491161313733,5.0
12,3,22,O1,-3.387505893770201,-1.356432140084479,-0.535511762182153,6.0
13,3,33,O1,-2.041321691332432,-3.537655015726512,-1.0682988099095603,6.0
14,3,26,O1,-2.120212632449838,-1.5728771222099782,-2.8228947284079764,6.0
15,3,44,O1,-2.241267579104867,3.046462750951872,-1.8112940345773578,7.0
16,3,39,O1,0.38276886074855054,3.3802401083357623,-1.7089374369033754,7.0
17,3,48,O1,-0.6328086439362343,1.4278763474924256,-3.1346193517907204,7.0
18,3,34,O1,3.65254911724976,-0.9571924309826059,0.6267159900339587,8.0
19,3,32,O1,3.8916908057162263,0.8263588544158232,-1.2866971855350124,8.0
20,3,42,O1,3.1201784421668073,-1.617939227768339,-1.870820986432125,8.0
21,4,5,Si1,1.977349143576142,0.6659872452958749,4.8202143135286235,9.0
22,4,3,Si1,0.9128291109625506,4.046849621901346,2.1307021580916805,10.0
23,4,13,Si1,-3.1201784421668064,1.6179392277683384,3.482737880502336,11.0
24,4,1,Si1,-4.557552953354047,-0.27263780629927636,-0.763543799948877,12.0
25,4,8,Si1,-3.1336436125480738,-4.7069587171285825,-0.8900014192657718,13.0
26,4,1,Si1,-1.4373745111872407,-1.8905770340676156,-4.246281680451215,14.0
27,4,11,Si1,-3.68609241431306,2.659452227903877,-1.2120725283715374,15.0
28,4,6,Si1,1.5279960865265798,4.104233084927664,-0.8393072809407178,16.0
29,4,11,Si1,-0.5659139721462538,1.0415130001355388,-4.694810408873875,17.0
30,4,5,Si1,5.097527585742949,-0.951951982472464,1.3374764330262856,18.0
31,4,3,Si1,4.033007553129357,2.4289103941330077,-1.3520357224106556,19.0
32,4,13,Si1,3.1201784421668064,-1.617939227768339,-3.482737880502338,20.0
