,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.239801836069702
1,0,2,0,0,7.38453617338156
2,0,3,0,0,1.1418215368944808e-29
3,0,4,0,0,4.62974788663235
4,0,5,0,0,5.677386829892447
5,0,6,0,0,4.095881856053972
6,0,7,0,0,4.629747886632352
7,0,8,0,0,6.061066776807645
8,0,9,0,0,4.343358971314867
9,0,10,0,0,4.095881856053973
10,0,11,0,0,3.3253496589147016
11,0,12,0,0,7.384536173381559
12,0,13,0,0,3.274925508265742e-29
13,0,14,0,0,4.239801836069706
14,0,15,0,0,1.307905941984616e-29
15,0,16,0,0,4.095881856053972
16,0,17,0,0,4.62974788663235
17,0,18,0,0,4.754112583570242
18,0,19,0,0,4.343358971314864
19,1,2,0,0,5.504488113268637
20,1,3,0,0,4.239801836069698
21,1,4,0,0,6.018529872352955
22,1,5,0,0,6.415051835975323
23,1,6,0,0,2.229731028140044
24,1,7,0,0,6.018529872352957
25,1,8,0,0,4.351916793146974
26,1,9,0,0,6.055362832703485
27,1,10,0,0,2.229731028140043
28,1,11,0,0,5.518155161140475
29,1,12,0,0,5.504488113268633
30,1,13,0,0,4.239801836069695
31,1,14,0,0,5.801080659325459e-30
32,1,15,0,0,4.2398018360697
33,1,16,0,0,2.229731028140044
34,1,17,0,0,6.0185298723529534
35,1,18,0,0,6.45390993256799
36,1,19,0,0,6.0553628327034845
37,2,3,0,0,7.384536173381559
38,2,4,0,0,6.345414964845361
39,2,5,0,0,4.418900795800046
40,2,6,0,0,6.415051835975326
41,2,7,0,0,6.34541496484536
42,2,8,0,0,2.038349360996794
43,2,9,0,0,4.717007244946842
44,2,10,0,0,6.415051835975324
45,2,11,0,0,5.524340042881661
46,2,12,0,0,2.0388810667044698e-29
47,2,13,0,0,7.384536173381557
48,2,14,0,0,5.504488113268636
49,2,15,0,0,7.3845361733815595
50,2,16,0,0,6.4150518359753255
51,2,17,0,0,6.345414964845359
52,2,18,0,0,4.312576649215732
53,2,19,0,0,4.717007244946842
54,3,4,0,0,4.629747886632347
55,3,5,0,0,5.677386829892448
56,3,6,0,0,4.095881856053973
57,3,7,0,0,4.629747886632348
58,3,8,0,0,6.061066776807645
59,3,9,0,0,4.34335897131487
60,3,10,0,0,4.095881856053974
61,3,11,0,0,3.3253496589147007
62,3,12,0,0,7.384536173381558
63,3,13,0,0,7.282966834726041e-30
64,3,14,0,0,4.239801836069701
65,3,15,0,0,4.68450571016351e-30
66,3,16,0,0,4.095881856053972
67,3,17,0,0,4.629747886632348
68,3,18,0,0,4.754112583570246
69,3,19,0,0,4.343358971314866
70,4,5,0,0,2.8125893885694593
71,4,6,0,0,4.645701369642254
72,4,7,0,0,4.571860961854634e-30
73,4,8,0,0,6.451163471835379
74,4,9,0,0,1.8925888350860782
75,4,10,0,0,4.6457013696422536
76,4,11,0,0,2.9762024596025665
77,4,12,0,0,6.3454149648453555
78,4,13,0,0,4.629747886632345
79,4,14,0,0,6.018529872352955
80,4,15,0,0,4.629747886632348
81,4,16,0,0,4.645701369642254
82,4,17,0,0,2.064533090275229e-30
83,4,18,0,0,2.0314348063451084
84,4,19,0,0,1.89258883508608
85,5,6,0,0,5.504488113268636
86,5,7,0,0,2.81258938856946
87,5,8,0,0,4.717007244946842
88,5,9,0,0,2.038349360996793
89,5,10,0,0,5.504488113268636
90,5,11,0,0,2.2232654686154216
91,5,12,0,0,4.418900795800043
92,5,13,0,0,5.677386829892449
93,5,14,0,0,6.415051835975322
94,5,15,0,0,5.677386829892451
95,5,16,0,0,5.504488113268634
96,5,17,0,0,2.812589388569459
97,5,18,0,0,1.9007714443486095
98,5,19,0,0,2.0383493609967926
99,6,7,0,0,4.645701369642254
100,6,8,0,0,6.055362832703488
101,6,9,0,0,4.351916793146974
102,6,10,0,0,4.259457884291213e-30
103,6,11,0,0,4.491747063972967
104,6,12,0,0,6.4150518359753255
105,6,13,0,0,4.095881856053973
106,6,14,0,0,2.2297310281400473
107,6,15,0,0,4.095881856053975
108,6,16,0,0,1.4850605059926927e-30
109,6,17,0,0,4.6457013696422536
110,6,18,0,0,4.771579487707598
111,6,19,0,0,4.351916793146974
112,7,8,0,0,6.45116347183538
113,7,9,0,0,1.8925888350860793
114,7,10,0,0,4.645701369642255
115,7,11,0,0,2.976202459602565
116,7,12,0,0,6.3454149648453555
117,7,13,0,0,4.629747886632346
118,7,14,0,0,6.018529872352956
119,7,15,0,0,4.62974788663235
120,7,16,0,0,4.645701369642255
121,7,17,0,0,3.92674008718756e-30
122,7,18,0,0,2.0314348063451098
123,7,19,0,0,1.8925888350860807
124,8,9,0,0,5.870671714370005
125,8,10,0,0,6.055362832703486
126,8,11,0,0,6.482763838970076
127,8,12,0,0,2.038349360996792
128,8,13,0,0,6.061066776807647
129,8,14,0,0,4.351916793146974
130,8,15,0,0,6.061066776807647
131,8,16,0,0,6.055362832703487
132,8,17,0,0,6.451163471835377
133,8,18,0,0,5.377806716715172
134,8,19,0,0,5.870671714370003
135,9,10,0,0,4.351916793146974
136,9,11,0,0,1.9568358381083328
137,9,12,0,0,4.717007244946841
138,9,13,0,0,4.343358971314868
139,9,14,0,0,6.055362832703486
140,9,15,0,0,4.343358971314871
141,9,16,0,0,4.351916793146974
