,isite_i,isite_j,distance
0,0,1,2.2172416509057733
1,0,2,2.2172416509057715
2,0,3,0.0
3,0,4,2.217241650905771
4,0,5,0.0
5,0,6,0.0
6,0,7,2.21724165090577
7,0,8,1.9166767305503525
8,0,9,2.0557154167130567
9,0,10,0.0
10,0,11,2.2172416509057697
11,0,12,2.2172416509057693
12,0,13,0.0
13,0,14,2.21724165090577
14,0,15,0.0
15,0,16,0.0
16,0,17,2.217241650905772
17,0,18,1.9166767305503505
18,0,19,2.055715416713057
19,1,2,0.0
20,1,3,2.2297310281400438
21,1,4,0.0
22,1,5,2.22973102814004
23,1,6,2.229731028140044
24,1,7,0.0
25,1,8,2.0508281247905487
26,1,9,1.9006106451349432
27,1,10,2.229731028140043
28,1,11,0.0
29,1,12,0.0
30,1,13,2.2297310281400478
31,1,14,0.0
32,1,15,2.229731028140045
33,1,16,2.229731028140044
34,1,17,0.0
35,1,18,2.050828124790548
36,1,19,1.900610645134944
37,2,3,2.223265468615422
38,2,4,0.0
39,2,5,2.223265468615415
40,2,6,2.223265468615418
41,2,7,0.0
42,2,8,2.038349360996793
43,2,9,1.9007714443486088
44,2,10,2.223265468615424
45,2,11,0.0
46,2,12,0.0
47,2,13,2.223265468615426
48,2,14,0.0
49,2,15,2.2232654686154207
50,2,16,2.223265468615423
51,2,17,0.0
52,2,18,2.0383493609967958
53,2,19,1.9007714443486092
54,3,4,2.2172416509057715
55,3,5,0.0
56,3,6,0.0
57,3,7,2.2172416509057715
58,3,8,1.9166767305503507
59,3,9,2.055715416713055
60,3,10,0.0
61,3,11,2.217241650905771
62,3,12,2.2172416509057697
63,3,13,0.0
64,3,14,2.2172416509057715
65,3,15,0.0
66,3,16,0.0
67,3,17,2.217241650905772
68,3,18,1.916676730550349
69,3,19,2.055715416713056
70,4,5,2.2215305636757297
71,4,6,2.2215305636757305
72,4,7,0.0
73,4,8,2.0314348063451058
74,4,9,1.8925888350860784
75,4,10,2.221530563675735
76,4,11,0.0
77,4,12,0.0
78,4,13,2.2215305636757363
79,4,14,0.0
80,4,15,2.2215305636757336
81,4,16,2.221530563675736
82,4,17,0.0
83,4,18,2.031434806345106
84,4,19,1.892588835086077
85,5,6,0.0
86,5,7,2.223265468615415
87,5,8,1.900771444348609
88,5,9,2.0383493609967918
89,5,10,0.0
90,5,11,2.2232654686154216
91,5,12,2.22326546861542
92,5,13,0.0
93,5,14,2.223265468615422
94,5,15,0.0
95,5,16,0.0
96,5,17,2.2232654686154216
97,5,18,1.900771444348609
98,5,19,2.0383493609967926
99,6,7,2.229731028140044
100,6,8,1.9006106451349425
101,6,9,2.0508281247905478
102,6,10,0.0
103,6,11,2.229731028140044
104,6,12,2.229731028140048
105,6,13,0.0
106,6,14,2.2297310281400478
107,6,15,0.0
108,6,16,0.0
109,6,17,2.229731028140043
110,6,18,1.900610645134944
111,6,19,2.050828124790548
112,7,8,2.031434806345107
113,7,9,1.8925888350860796
114,7,10,2.221530563675737
115,7,11,0.0
116,7,12,0.0
117,7,13,2.221530563675739
118,7,14,0.0
119,7,15,2.221530563675736
120,7,16,2.2215305636757385
121,7,17,0.0
122,7,18,2.031434806345107
123,7,19,1.892588835086078
124,8,9,0.2026992149367145
125,8,10,1.892588835086077
126,8,11,2.0383493609967904
127,8,12,2.038349360996792
128,8,13,1.8925888350860756
129,8,14,2.038349360996793
130,8,15,1.8925888350860776
131,8,16,1.892588835086076
132,8,17,2.038349360996793
133,8,18,0.0
134,8,19,0.2026992149367144
135,9,10,2.0383493609967926
136,9,11,1.892588835086076
137,9,12,1.892588835086078
138,9,13,2.0383493609967904
139,9,14,1.8925888350860771
140,9,15,2.038349360996793
141,9,16,2.038349360996792
142,9,17,1.892588835086079
143,9,18,0.2026992149367143
144,9,19,0.0
145,10,11,2.229731028140043
146,10,12,2.2297310281400464
147,10,13,0.0
148,10,14,2.229731028140045
149,10,15,0.0
150,10,16,0.0
151,10,17,2.229731028140041
152,10,18,1.900610645134944
153,10,19,2.0508281247905478
154,11,12,0.0
155,11,13,2.2232654686154127
156,11,14,0.0
157,11,15,2.2232654686154163
158,11,16,2.2232654686154167
159,11,17,0.0
160,11,18,2.102242343630436
161,11,19,1.9568358381083295
162,12,13,2.223265468615419
163,12,14,0.0
164,12,15,2.2232654686154145
165,12,16,2.2232654686154167
166,12,17,0.0
167,12,18,2.038349360996793
168,12,19,1.900771444348608
169,13,14,2.2172416509057733
170,13,15,0.0
171,13,16,0.0
172,13,17,2.217241650905774
173,13,18,1.9166767305503487
174,13,19,2.055715416713056
175,14,15,2.229731028140048
176,14,16,2.2297310281400478
177,14,17,0.0
178,14,18,2.0508281247905487
179,14,19,1.9006106451349445
180,15,16,0.0
181,15,17,2.2172416509057724
182,15,18,1.9166767305503496
183,15,19,2.0557154167130567
184,16,17,2.229731028140043
185,16,18,1.9006106451349445
186,16,19,2.0508281247905487
187,17,18,2.0314348063451058
188,17,19,1.8925888350860776
189,18,19,0.2026992149367145
