,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.221861694721984e-16
1,0,2,0,0,5.272912757645244
2,0,3,0,0,4.747875028540782
3,0,4,0,0,4.097580659831774
4,0,5,0,0,4.270456927741072
5,0,6,0,0,4.739886560322719
6,0,7,0,0,5.098166237620069
7,0,8,0,0,5.128275711270192
8,0,9,0,0,4.351984621425017
9,0,10,0,0,1.5105583431122
10,0,11,0,0,1.5105583643316418
11,0,12,0,0,3.4733977129710314
12,0,13,0,0,5.833219092317987
13,0,14,0,0,2.899519382074395
14,0,15,0,0,4.952413968827458
15,1,2,0,0,5.272912752528177
16,1,3,0,0,4.747875015829374
17,1,4,0,0,4.0975806462606945
18,1,5,0,0,4.270456927435868
19,1,6,0,0,4.739886555635499
20,1,7,0,0,5.098166223343209
21,1,8,0,0,5.128275704602461
22,1,9,0,0,4.351984593730373
23,1,10,0,0,1.5105583234348205
24,1,11,0,0,1.5105583446542614
25,1,12,0,0,3.473397726605387
26,1,13,0,0,5.833219075190074
27,1,14,0,0,2.899519386554895
28,1,15,0,0,4.952413973037412
29,2,3,0,0,1.0778325885159032
30,2,4,0,0,5.287520814942124
31,2,5,0,0,5.099787727232862
32,2,6,0,0,4.924180230689038
33,2,7,0,0,3.8925168866858137
34,2,8,0,0,3.494873590548253
35,2,9,0,0,2.78038880145747
36,2,10,0,0,5.311275309733096
37,2,11,0,0,5.311275325001717
38,2,12,0,0,2.7113035925662072
39,2,13,0,0,4.735985743929865
40,2,14,0,0,2.986124323733149
41,2,15,0,0,4.13389250231557
42,3,4,0,0,4.980593288869295
43,3,5,0,0,5.720504514663984
44,3,6,0,0,4.659591879188369
45,3,7,0,0,3.6628094819340093
46,3,8,0,0,4.444934220293045
47,3,9,0,0,2.344515694947131
48,3,10,0,0,5.129927893582461
49,3,11,0,0,5.129927905249749
50,3,12,0,0,2.8987584543214906
51,3,13,0,0,3.8510285736619005
52,3,14,0,0,3.475651431752559
53,3,15,0,0,4.109783027509264
54,4,5,0,0,3.625528709427987
55,4,6,0,0,4.22028721112253
56,4,7,0,0,4.732109496456854
57,4,8,0,0,5.83427509805635
58,4,9,0,0,3.661414008528424
59,4,10,0,0,3.8514773771640147
60,4,11,0,0,3.851477359663451
61,4,12,0,0,4.467468265126494
62,4,13,0,0,3.459745329165215
63,4,14,0,0,3.8761570607993137
64,4,15,0,0,0.6697569084547828
65,5,6,0,0,2.5262746159323943
66,5,7,0,0,4.231600656032346
67,5,8,0,0,2.987896547214884
68,5,9,0,0,5.831476107050108
69,5,10,0,0,5.243020384953829
70,5,11,0,0,5.243020384182343
71,5,12,0,0,3.4087512779595315
72,5,13,0,0,3.802578390816247
73,5,14,0,0,4.3301761999467185
74,5,15,0,0,4.718322217310446
75,6,7,0,0,3.8287470136619346
76,6,8,0,0,2.8997634769990905
77,6,9,0,0,5.726483392092655
78,6,10,0,0,3.4752657059948815
79,6,11,0,0,3.4752656901092553
80,6,12,0,0,3.5032240982173284
81,6,13,0,0,4.7208261654142
82,6,14,0,0,3.8131260959279607
83,6,15,0,0,3.627780864928522
84,7,8,0,0,4.746711809047124
85,7,9,0,0,2.71130359297443
86,7,10,0,0,4.6644198908778
87,7,11,0,0,4.664419896356023
88,7,12,0,0,3.605862145794798
89,7,13,0,0,3.8775690407674754
90,7,14,0,0,3.8304965704271217
91,7,15,0,0,4.658701268777103
92,8,9,0,0,5.311275323614852
93,8,10,0,0,4.741380794212617
94,8,11,0,0,4.741380791924009
95,8,12,0,0,4.664419898016172
96,8,13,0,0,3.8632686703631274
97,8,14,0,0,5.0969167310768775
98,8,15,0,0,5.270225493690758
99,9,10,0,0,3.4948735811459066
100,9,11,0,0,3.4948735905482526
101,9,12,0,0,3.8925168866858164
102,9,13,0,0,4.133892493925514
103,9,14,0,0,3.875601476520801
104,9,15,0,0,4.735985747384248
