,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.7127935977368756
1,0,2,0,0,2.712793597736876
2,0,3,0,0,2.9611814833631915
3,0,4,0,0,4.992420821667595
4,0,5,0,0,1.7112587894042185e-30
5,0,6,0,0,4.992420821667593
6,0,7,0,0,3.7777842013826195
7,1,2,0,0,3.6464008975915655e-30
8,1,3,0,0,3.7771426524561975
9,1,4,0,0,2.9582680373324637
10,1,5,0,0,2.712793597736876
11,1,6,0,0,2.958268037332463
12,1,7,0,0,2.970078243578664
13,2,3,0,0,3.7771426524561975
14,2,4,0,0,2.9582680373324624
15,2,5,0,0,2.712793597736876
16,2,6,0,0,2.9582680373324615
17,2,7,0,0,2.9700782435786643
18,3,4,0,0,5.0099176536901675
19,3,5,0,0,2.961181483363192
20,3,6,0,0,5.0099176536901675
21,3,7,0,0,2.715859689474944
22,4,5,0,0,4.992420821667594
23,4,6,0,0,5.0934843088344545e-30
24,4,7,0,0,2.970078243578664
25,5,6,0,0,4.992420821667594
26,5,7,0,0,3.7777842013826195
27,6,7,0,0,2.9700782435786626
28,0,1,0,1,5.991022078230105
29,0,2,0,1,5.991022078230105
30,0,3,0,1,5.001145293514499
31,0,4,0,1,5.003540579364879
32,0,5,0,1,2.725222299080313
33,0,6,0,1,5.003540579364877
34,0,7,0,1,4.99892228819883
35,1,2,0,1,2.7104571867312077
36,1,3,0,1,5.009917653690167
37,1,4,0,1,3.777354283695991
38,1,5,0,1,5.998951804996092
39,1,6,0,1,3.777354283695992
40,1,7,0,1,4.995038055608764
41,2,3,0,1,5.0099176536901675
42,2,4,0,1,3.7773542836959906
43,2,5,0,1,5.998951804996088
44,2,6,0,1,3.777354283695992
45,2,7,0,1,4.995038055608763
46,3,4,0,1,3.7776688627334316
47,3,5,0,1,4.993265432715949
48,3,6,0,1,3.7776688627334316
49,3,7,0,1,2.715937082889912
50,4,5,0,1,5.00001697550592
51,4,6,0,1,2.710457186731207
52,4,7,0,1,4.995038055608762
53,5,6,0,1,5.003540579364876
54,5,7,0,1,4.9989222881988296
55,6,7,0,1,4.995038055608761
56,0,1,0,2,3.777784201382621
57,0,2,0,2,4.992420821667595
58,0,3,0,2,3.7827909980828265
59,0,4,0,2,2.7127935977368756
60,0,5,0,2,3.7827909980828247
61,0,6,0,2,5.001145293514498
62,0,7,0,2,3.782790998082825
63,1,2,0,2,2.958268037332464
64,1,3,0,2,4.992420821667598
65,1,4,0,2,2.554069747401923e-30
66,1,5,0,2,4.9924208216675945
67,1,6,0,2,5.009917653690165
68,1,7,0,2,4.992420821667597
69,2,3,0,2,4.992420821667596
70,2,4,0,2,5.015345574023903e-30
71,2,5,0,2,4.992420821667593
72,2,6,0,2,5.009917653690165
73,2,7,0,2,4.9924208216675945
74,3,4,0,2,3.7771426524561975
75,3,5,0,2,5.001145293514498
76,3,6,0,2,5.977955578378253
77,3,7,0,2,5.001145293514501
78,4,5,0,2,2.712793597736876
79,4,6,0,2,3.7771426524561957
80,4,7,0,2,2.712793597736876
81,5,6,0,2,5.001145293514498
82,5,7,0,2,3.782790998082824
83,6,7,0,2,2.712793597736876
84,0,1,0,3,4.998922288198832
85,0,2,0,3,5.003540579364879
86,0,3,0,3,2.9687831070803448
87,0,4,0,3,5.991022078230103
88,0,5,0,3,2.968783107080344
89,0,6,0,3,2.96118148336319
90,0,7,0,3,2.9687831070803443
91,1,2,0,3,3.777354283695992
92,1,3,0,3,5.000016975505919
93,1,4,0,3,2.7104571867312073
94,1,5,0,3,5.000016975505917
95,1,6,0,3,3.777142652456196
96,1,7,0,3,5.00001697550592
97,2,3,0,3,5.00001697550592
98,2,4,0,3,2.7104571867312073
99,2,5,0,3,5.000016975505918
100,2,6,0,3,3.7771426524561966
101,2,7,0,3,5.00001697550592
102,3,4,0,3,5.0062010365927065
103,3,5,0,3,2.9672649572782452
104,3,6,0,3,3.477648610361073e-30
105,3,7,0,3,2.9672649572782475
106,4,5,0,3,5.998951804996089
107,4,6,0,3,5.009917653690164
108,4,7,0,3,5.998951804996092
109,5,6,0,3,2.961181483363191
110,5,7,0,3,2.968783107080344
111,6,7,0,3,5.998951804996091
112,0,1,0,4,4.992420821667597
113,0,2,0,4,3.7777842013826195
114,0,3,0,4,2.712793597736876
115,0,4,0,4,3.7777842013826195
116,0,5,0,4,3.777784201382618
117,0,6,0,4,4.20777757864858e-30
118,0,7,0,4,5.2991875925230616e-30
119,1,2,0,4,2.9700782435786635
120,1,3,0,4,2.8511453867712278e-30
121,1,4,0,4,2.9700782435786635
122,1,5,0,4,2.9700782435786635
123,1,6,0,4,2.7127935977368764
124,1,7,0,4,2.712793597736876
125,2,3,0,4,1.8638053161122153e-30
126,2,4,0,4,2.970078243578664
127,2,5,0,4,2.970078243578664
128,2,6,0,4,2.712793597736878
129,2,7,0,4,2.7127935977368756
130,3,4,0,4,2.715859689474944
131,3,5,0,4,2.715859689474943
132,3,6,0,4,2.9611814833631915
133,3,7,0,4,2.9611814833631906
134,4,5,0,4,2.970078243578664
135,4,6,0,4,4.992420821667594
136,4,7,0,4,4.9924208216675945
137,5,6,0,4,5.955559003179996e-30
138,5,7,0,4,8.214719477978854e-30
139,6,7,0,4,4.9924208216675945
140,0,1,0,5,5.003540579364881
141,0,2,0,5,4.998922288198831
142,0,3,0,5,5.991022078230105
143,0,4,0,5,4.99892228819883
144,0,5,0,5,4.99892228819883
145,0,6,0,5,2.725222299080314
146,0,7,0,5,2.725222299080314
147,1,2,0,5,4.995038055608767
148,1,3,0,5,2.7104571867312077
149,1,4,0,5,4.995038055608764
150,1,5,0,5,4.995038055608764
151,1,6,0,5,5.998951804996095
152,1,7,0,5,5.998951804996093
153,2,3,0,5,2.710457186731208
154,2,4,0,5,4.995038055608764
155,2,5,0,5,4.995038055608763
156,2,6,0,5,5.998951804996092
157,2,7,0,5,5.998951804996092
158,3,4,0,5,2.7159370828899125
159,3,5,0,5,2.715937082889913
160,3,6,0,5,4.993265432715951
161,3,7,0,5,4.993265432715952
162,4,5,0,5,4.995038055608763
163,4,6,0,5,5.000016975505922
164,4,7,0,5,5.000016975505921
165,5,6,0,5,2.725222299080313
166,5,7,0,5,2.725222299080314
167,6,7,0,5,5.000016975505919
168,0,1,0,6,3.782790998082827
169,0,2,0,6,5.001145293514498
170,0,3,0,6,2.4214250298672987e-30
171,0,4,0,6,5.001145293514501
172,0,5,0,6,2.9611814833631906
173,0,6,0,6,2.7127935977368764
174,0,7,0,6,2.712793597736877
