,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,1.844749987715706e-30
1,0,2,0,0,6.280625938867156
2,0,3,0,0,1.768106048736065e-30
3,0,4,0,0,6.280625938867157
4,0,5,0,0,1.9208547380574287e-30
5,0,6,0,0,6.280625938867155
6,0,7,0,0,6.280625938867155
7,0,8,0,0,1.867288295656318e-30
8,0,9,0,0,6.280625938867158
9,0,10,0,0,6.280625938867154
10,0,11,0,0,3.1395011054785028e-30
11,0,12,0,0,6.280625938867151
12,0,13,0,0,2.1667923417018015e-30
13,0,14,0,0,6.280625938867155
14,0,15,0,0,6.280625938867155
15,1,2,0,0,6.280625938867155
16,1,3,0,0,2.732053311476047e-30
17,1,4,0,0,6.280625938867157
18,1,5,0,0,2.8270761735478807e-30
19,1,6,0,0,6.280625938867154
20,1,7,0,0,6.280625938867155
21,1,8,0,0,2.8152319228437808e-30
22,1,9,0,0,6.280625938867157
23,1,10,0,0,6.280625938867153
24,1,11,0,0,4.631922499218761e-30
25,1,12,0,0,6.280625938867154
26,1,13,0,0,2.013983007721784e-30
27,1,14,0,0,6.280625938867154
28,1,15,0,0,6.280625938867154
29,2,3,0,0,6.280625938867157
30,2,4,0,0,6.280213520890703
31,2,5,0,0,6.280625938867157
32,2,6,0,0,3.721742894501401e-30
33,2,7,0,0,1.1014451713464068e-30
34,2,8,0,0,6.280625938867156
35,2,9,0,0,6.280213520890704
36,2,10,0,0,5.704546133761526e-30
37,2,11,0,0,6.280625938867155
38,2,12,0,0,4.640516528698351e-30
39,2,13,0,0,6.280625938867156
40,2,14,0,0,6.280213520890701
41,2,15,0,0,6.280213520890702
42,3,4,0,0,6.280625938867157
43,3,5,0,0,5.4083839063377466e-31
44,3,6,0,0,6.280625938867155
45,3,7,0,0,6.280625938867154
46,3,8,0,0,2.454250690256424e-30
47,3,9,0,0,6.280625938867157
48,3,10,0,0,6.280625938867156
49,3,11,0,0,4.30515008582662e-30
50,3,12,0,0,6.280625938867154
51,3,13,0,0,2.0855145110393662e-30
52,3,14,0,0,6.280625938867156
53,3,15,0,0,6.280625938867155
54,4,5,0,0,6.280625938867158
55,4,6,0,0,6.280213520890701
56,4,7,0,0,6.280213520890703
57,4,8,0,0,6.280625938867157
58,4,9,0,0,5.646593150889511e-31
59,4,10,0,0,6.280213520890703
60,4,11,0,0,6.280625938867157
61,4,12,0,0,6.280213520890701
62,4,13,0,0,6.280625938867157
63,4,14,0,0,2.4893344869366618e-30
64,4,15,0,0,9.55110679711326e-30
65,5,6,0,0,6.280625938867156
66,5,7,0,0,6.280625938867156
67,5,8,0,0,2.5966343747861764e-30
68,5,9,0,0,6.280625938867156
69,5,10,0,0,6.280625938867157
70,5,11,0,0,4.000246641405625e-30
71,5,12,0,0,6.280625938867154
72,5,13,0,0,1.743184083680595e-30
73,5,14,0,0,6.280625938867156
74,5,15,0,0,6.280625938867155
75,6,7,0,0,1.4226727776161579e-30
76,6,8,0,0,6.280625938867155
77,6,9,0,0,6.2802135208907
78,6,10,0,0,3.781493411988178e-30
79,6,11,0,0,6.2806259388671535
80,6,12,0,0,2.3418724508614126e-30
81,6,13,0,0,6.280625938867158
82,6,14,0,0,6.280213520890698
83,6,15,0,0,6.280213520890697
84,7,8,0,0,6.280625938867154
85,7,9,0,0,6.280213520890701
86,7,10,0,0,4.497023075538809e-30
87,7,11,0,0,6.2806259388671535
88,7,12,0,0,2.4664100844471073e-30
89,7,13,0,0,6.280625938867155
90,7,14,0,0,6.280213520890699
91,7,15,0,0,6.280213520890698
92,8,9,0,0,6.280625938867158
93,8,10,0,0,6.280625938867155
94,8,11,0,0,2.7320910522730958e-30
95,8,12,0,0,6.280625938867153
96,8,13,0,0,2.0275651151766444e-30
97,8,14,0,0,6.280625938867156
98,8,15,0,0,6.280625938867157
99,9,10,0,0,6.280213520890701
100,9,11,0,0,6.280625938867154
101,9,12,0,0,6.280213520890701
102,9,13,0,0,6.280625938867157
103,9,14,0,0,1.6529906543594848e-30
104,9,15,0,0,8.527025648017754e-30
105,10,11,0,0,6.280625938867154
106,10,12,0,0,8.971991335138711e-30
107,10,13,0,0,6.280625938867155
108,10,14,0,0,6.280213520890702
109,10,15,0,0,6.280213520890701
110,11,12,0,0,6.280625938867152
111,11,13,0,0,5.0252988416774995e-30
112,11,14,0,0,6.280625938867154
113,11,15,0,0,6.280625938867155
114,12,13,0,0,6.280625938867152
115,12,14,0,0,6.2802135208907
116,12,15,0,0,6.280213520890698
117,13,14,0,0,6.280625938867156
118,13,15,0,0,6.280625938867155
119,14,15,0,0,6.574395311219694e-30
120,0,1,0,1,6.280744837358674
121,0,2,0,1,6.280625938867154
122,0,3,0,1,6.280744837358675
123,0,4,0,1,6.280625938867155
124,0,5,0,1,6.280744837358676
125,0,6,0,1,6.280625938867155
126,0,7,0,1,6.280625938867157
127,0,8,0,1,6.280744837358678
128,0,9,0,1,6.280625938867156
129,0,10,0,1,6.280625938867154
130,0,11,0,1,6.280744837358673
131,0,12,0,1,6.280625938867151
132,0,13,0,1,6.280744837358677
133,0,14,0,1,6.280625938867155
134,0,15,0,1,6.280625938867154
135,1,2,0,1,6.2806259388671535
136,1,3,0,1,6.280744837358676
137,1,4,0,1,6.280625938867155
138,1,5,0,1,6.280744837358675
139,1,6,0,1,6.2806259388671535
140,1,7,0,1,6.2806259388671535
141,1,8,0,1,6.280744837358676
142,1,9,0,1,6.280625938867155
143,1,10,0,1,6.280625938867154
144,1,11,0,1,6.2807448373586725
145,1,12,0,1,6.280625938867154
146,1,13,0,1,6.280744837358677
147,1,14,0,1,6.280625938867154
148,1,15,0,1,6.280625938867153
149,2,3,0,1,6.280419510223444
150,2,4,0,1,5.455756838006122e-30
151,2,5,0,1,6.280419510223444
152,2,6,0,1,6.280213520890702
153,2,7,0,1,6.2802135208907
154,2,8,0,1,6.280419510223443
155,2,9,0,1,3.915293017760971e-30
156,2,10,0,1,4.7227303927183e-30
157,2,11,0,1,6.2804195102234415
158,2,12,0,1,4.46064050804393e-30
159,2,13,0,1,6.280419510223442
160,2,14,0,1,6.280213520890701
161,2,15,0,1,4.30521796153188e-30
162,3,4,0,1,6.280625938867155
163,3,5,0,1,6.280744837358676
164,3,6,0,1,6.280625938867158
165,3,7,0,1,6.280625938867157
166,3,8,0,1,6.280744837358677
167,3,9,0,1,6.280625938867157
168,3,10,0,1,6.280625938867156
169,3,11,0,1,6.280744837358673
170,3,12,0,1,6.2806259388671535
171,3,13,0,1,6.280744837358677
172,3,14,0,1,6.280625938867155
173,3,15,0,1,6.280625938867154
174,4,5,0,1,6.280419510223445
175,4,6,0,1,6.938390234557535e-30
176,4,7,0,1,4.002835287960391e-30
177,4,8,0,1,6.280419510223445
178,4,9,0,1,6.280213520890703
179,4,10,0,1,6.280213520890705
180,4,11,0,1,6.280419510223442
181,4,12,0,1,6.280213520890701
182,4,13,0,1,6.280419510223444
183,4,14,0,1,2.5030085895418112e-30
184,4,15,0,1,6.280213520890701
185,5,6,0,1,6.280625938867156
186,5,7,0,1,6.280625938867155
187,5,8,0,1,6.280744837358677
188,5,9,0,1,6.280625938867157
189,5,10,0,1,6.280625938867157
190,5,11,0,1,6.280744837358675
191,5,12,0,1,6.280625938867154
192,5,13,0,1,6.280744837358678
193,5,14,0,1,6.280625938867155
194,5,15,0,1,6.280625938867154
195,6,7,0,1,6.280213520890701
196,6,8,0,1,6.280419510223442
197,6,9,0,1,5.667871758699316e-30
198,6,10,0,1,3.2614106208847714e-30
199,6,11,0,1,6.280419510223441
200,6,12,0,1,2.2758247260716236e-30
201,6,13,0,1,6.2804195102234415
202,6,14,0,1,6.280213520890698
203,6,15,0,1,2.363139386368525e-30
204,7,8,0,1,6.280419510223442
205,7,9,0,1,4.341775613567158e-30
206,7,10,0,1,3.716764657402727e-30
207,7,11,0,1,6.28041951022344
208,7,12,0,1,2.3692440006770978e-30
209,7,13,0,1,6.280419510223442
210,7,14,0,1,6.280213520890699
211,7,15,0,1,2.5526217121394956e-30
212,8,9,0,1,6.280625938867157
213,8,10,0,1,6.280625938867156
214,8,11,0,1,6.280744837358676
215,8,12,0,1,6.280625938867154
216,8,13,0,1,6.280744837358679
217,8,14,0,1,6.280625938867156
218,8,15,0,1,6.280625938867155
219,9,10,0,1,6.280213520890701
220,9,11,0,1,6.280419510223442
221,9,12,0,1,6.280213520890701
222,9,13,0,1,6.280419510223443
223,9,14,0,1,1.66381671510748e-30
224,9,15,0,1,6.2802135208907
225,10,11,0,1,6.28041951022344
226,10,12,0,1,8.708413231870951e-30
227,10,13,0,1,6.280419510223442
228,10,14,0,1,6.280213520890702
229,10,15,0,1,8.559982394672162e-30
230,11,12,0,1,6.280625938867152
231,11,13,0,1,6.280744837358676
232,11,14,0,1,6.280625938867154
233,11,15,0,1,6.280625938867152
234,12,13,0,1,6.280419510223441
235,12,14,0,1,6.2802135208907
236,12,15,0,1,1.4632632102319556e-30
237,13,14,0,1,6.280625938867156
238,13,15,0,1,6.280625938867154
239,14,15,0,1,6.280213520890699
240,0,1,0,2,1.0524681892455048e-30
241,0,2,0,2,6.280625938867154
242,0,3,0,2,4.449201651404539e-30
243,0,4,0,2,6.280625938867155
244,0,5,0,2,5.358333963576861e-30
245,0,6,0,2,6.280625938867154
246,0,7,0,2,6.280625938867155
247,0,8,0,2,3.221368786495557e-30
248,0,9,0,2,6.280625938867156
249,0,10,0,2,6.280625938867156
250,0,11,0,2,6.280625938867157
251,0,12,0,2,6.2806259388671535
252,0,13,0,2,3.9323520881471646e-30
253,0,14,0,2,6.280625938867156
254,0,15,0,2,6.280625938867155
255,1,2,0,2,6.280625938867154
