,isite_i,isite_j,distance
0,0,1,2.674786261850437
1,0,2,2.674786261850437
2,0,3,0.0
3,0,4,2.674786261850433
4,0,5,0.0
5,0,6,0.0
6,0,7,2.674786261850436
7,0,8,1.6485415185344163
8,0,9,3.194303945635518
9,0,10,3.194303945635518
10,0,11,1.6485415185344183
11,0,12,3.1943039456355184
12,0,13,1.648541518534416
13,0,14,1.6485415185344172
14,0,15,3.194303945635516
15,0,16,1.9660906585016007
16,0,17,1.9660906585016016
17,0,18,1.966090658501598
18,0,19,1.9660906585015996
19,0,20,0.0
20,0,21,2.674786261850437
21,0,22,2.674786261850436
22,0,23,0.0
23,0,24,2.674786261850437
24,0,25,0.0
25,0,26,0.0
26,0,27,2.674786261850432
27,0,28,1.6485415185344197
28,0,29,3.1943039456355167
29,0,30,3.194303945635518
30,0,31,1.6485415185344194
31,0,32,3.194303945635518
32,0,33,1.648541518534417
33,0,34,1.6485415185344177
34,0,35,3.194303945635517
35,0,36,1.9660906585016007
36,0,37,1.966090658501599
37,0,38,1.9660906585016016
38,0,39,1.9660906585016
39,1,2,0.0
40,1,3,2.6790703662119064
41,1,4,0.0
42,1,5,2.6790703662119064
43,1,6,2.679070366211906
44,1,7,0.0
45,1,8,3.1958199645893424
46,1,9,1.611355761244348
47,1,10,1.6113557612443503
48,1,11,3.1958199645893446
49,1,12,1.6113557612443548
50,1,13,3.195819964589343
51,1,14,3.1958199645893446
52,1,15,1.6113557612443523
53,1,16,1.9872447114514609
54,1,17,1.9872447114514584
55,1,18,1.9872447114514613
56,1,19,1.98724471145146
57,1,20,2.679070366211906
58,1,21,0.0
59,1,22,0.0
60,1,23,2.679070366211906
61,1,24,0.0
62,1,25,2.679070366211905
63,1,26,2.6790703662119077
64,1,27,0.0
65,1,28,3.195819964589344
66,1,29,1.6113557612443548
67,1,30,1.6113557612443523
68,1,31,3.1958199645893437
69,1,32,1.6113557612443494
70,1,33,3.195819964589345
71,1,34,3.195819964589341
72,1,35,1.6113557612443474
73,1,36,1.9872447114514629
74,1,37,1.987244711451467
75,1,38,1.9872447114514635
76,1,39,1.9872447114514584
77,2,3,2.679070366211907
78,2,4,0.0
79,2,5,2.6790703662119064
80,2,6,2.6790703662119077
81,2,7,0.0
82,2,8,3.1958199645893406
83,2,9,1.6113557612443496
84,2,10,1.611355761244352
85,2,11,3.195819964589342
86,2,12,1.611355761244356
87,2,13,3.19581996458934
88,2,14,3.1958199645893424
89,2,15,1.6113557612443543
90,2,16,1.9872447114514635
91,2,17,1.987244711451462
92,2,18,1.987244711451464
93,2,19,1.9872447114514624
94,2,20,2.679070366211905
95,2,21,0.0
96,2,22,0.0
97,2,23,2.679070366211906
98,2,24,0.0
99,2,25,2.679070366211906
100,2,26,2.679070366211908
101,2,27,0.0
102,2,28,3.195819964589342
103,2,29,1.6113557612443568
104,2,30,1.6113557612443543
105,2,31,3.195819964589341
106,2,32,1.6113557612443508
107,2,33,3.1958199645893424
108,2,34,3.19581996458934
109,2,35,1.6113557612443492
110,2,36,1.9872447114514655
111,2,37,1.9872447114514693
112,2,38,1.9872447114514664
113,2,39,1.987244711451461
114,3,4,2.672321338004823
115,3,5,0.0
116,3,6,0.0
117,3,7,2.672321338004822
118,3,8,1.6177115559056778
119,3,9,3.20462323339302
120,3,10,3.2046232333930176
121,3,11,1.617711555905675
122,3,12,3.204623233393016
123,3,13,1.6177115559056758
124,3,14,1.6177115559056765
125,3,15,3.204623233393016
126,3,16,1.9728689672246535
127,3,17,1.972868967224653
128,3,18,1.972868967224653
129,3,19,1.9728689672246524
130,3,20,0.0
131,3,21,2.6723213380048203
132,3,22,2.672321338004823
133,3,23,0.0
134,3,24,2.672321338004822
135,3,25,0.0
136,3,26,0.0
137,3,27,2.6723213380048234
138,3,28,1.6177115559056767
139,3,29,3.204623233393015
140,3,30,3.204623233393016
141,3,31,1.6177115559056754
142,3,32,3.2046232333930167
143,3,33,1.6177115559056747
144,3,34,1.6177115559056794
145,3,35,3.20462323339302
146,3,36,1.972868967224655
147,3,37,1.972868967224655
148,3,38,1.9728689672246544
149,3,39,1.9728689672246529
150,4,5,2.6750613608138845
151,4,6,2.6750613608138893
152,4,7,0.0
