,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.8384201896718295
1,0,2,0,0,3.9607972731439944
2,0,3,0,0,5.091215016712454
3,0,4,0,0,5.160284865399459
4,0,5,0,0,2.0971634500635563
5,0,6,0,0,5.091215016712451
6,0,7,0,0,5.49178147935711
7,0,8,0,0,4.3652219031055255
8,0,9,0,0,4.908562191541498
9,0,10,0,0,4.908562191541498
10,0,11,0,0,4.157120140064979
11,0,12,0,0,3.6816661086945803
12,0,13,0,0,4.116206326619233
13,0,14,0,0,3.6217656419941426
14,0,15,0,0,3.6816661086945817
15,0,16,0,0,6.618676410683872
16,0,17,0,0,5.041163367946054
17,0,18,0,0,4.206288397372537
18,0,19,0,0,2.975223626205554
19,0,20,0,0,3.165008706221755
20,0,21,0,0,6.618676410683875
21,0,22,0,0,3.8817157075926314
22,0,23,0,0,3.9637080741638484
23,0,24,0,0,4.400134465819594
24,0,25,0,0,5.491781479357111
25,0,26,0,0,5.16028486539946
26,0,27,0,0,1.6045613520322462e-29
27,0,28,0,0,5.160284865399456
28,0,29,0,0,5.1901503633247685
29,0,30,0,0,1.1172235491864294e-29
30,0,31,0,0,5.491781479357114
31,0,32,0,0,3.5544313719401046
32,0,33,0,0,3.840986720915339
33,0,34,0,0,6.310645419129698
34,0,35,0,0,4.157120140064979
35,0,36,0,0,3.840986720915339
36,0,37,0,0,4.157120140064979
37,0,38,0,0,4.365221903105527
38,0,39,0,0,5.182411906422448
39,0,40,0,0,2.975223626205557
40,0,41,0,0,3.1650087062217533
41,0,42,0,0,3.165008706221754
42,0,43,0,0,6.618676410683877
43,0,44,0,0,4.206288397372538
44,0,45,0,0,6.618676410683873
45,0,46,0,0,4.423023007853014
46,0,47,0,0,5.939054908550834
47,1,2,0,0,5.091215016712454
48,1,3,0,0,3.9607972731439935
49,1,4,0,0,4.400134465819592
50,1,5,0,0,2.8685980875421957
51,1,6,0,0,3.960797273143989
52,1,7,0,0,4.153357980573468
53,1,8,0,0,3.8409867209153377
54,1,9,0,0,5.8304567873024995
55,1,10,0,0,5.8304567873024995
56,1,11,0,0,6.310645419129694
57,1,12,0,0,3.621765641994144
58,1,13,0,0,5.527865286703092
59,1,14,0,0,3.6816661086945803
60,1,15,0,0,3.6217656419941444
61,1,16,0,0,3.9637080741638466
62,1,17,0,0,2.975223626205555
63,1,18,0,0,4.423023007853008
64,1,19,0,0,5.041163367946054
65,1,20,0,0,3.8817157075926314
66,1,21,0,0,3.9637080741638457
67,1,22,0,0,3.1650087062217525
68,1,23,0,0,6.618676410683866
69,1,24,0,0,5.160284865399455
70,1,25,0,0,4.153357980573468
71,1,26,0,0,4.400134465819597
72,1,27,0,0,3.8384201896718277
73,1,28,0,0,4.400134465819593
74,1,29,0,0,3.19962859129386
75,1,30,0,0,3.8384201896718277
76,1,31,0,0,4.15335798057347
77,1,32,0,0,5.182411906422446
78,1,33,0,0,4.365221903105525
79,1,34,0,0,4.157120140064979
80,1,35,0,0,6.3106454191296955
81,1,36,0,0,4.365221903105526
82,1,37,0,0,6.3106454191296955
83,1,38,0,0,3.8409867209153403
84,1,39,0,0,3.554431371940106
85,1,40,0,0,5.041163367946052
86,1,41,0,0,3.8817157075926314
87,1,42,0,0,3.8817157075926314
88,1,43,0,0,3.9637080741638475
89,1,44,0,0,4.423023007853012
90,1,45,0,0,3.9637080741638493
91,1,46,0,0,4.2062883973725365
92,1,47,0,0,5.365414795246535
93,2,3,0,0,3.1257231246957082
94,2,4,0,0,4.1179386952891015
95,2,5,0,0,5.399769959201671
96,2,6,0,0,3.1257231246957082
97,2,7,0,0,3.5664870812110374
98,2,8,0,0,6.2612040535995135
99,2,9,0,0,4.046940745379761
100,2,10,0,0,4.046940745379759
