,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,1.799134583691521
6,0,7,1.7991345801736165
7,0,8,1.7991345997749424
8,0,9,1.799134582616072
9,0,10,1.7991345796815117
10,0,11,1.7991345757199713
11,0,12,1.7991345796815117
12,0,13,1.7991345757199713
13,0,14,1.7991345826160725
14,0,15,1.799134580173616
15,0,16,1.7991345997749413
16,0,17,1.7991345836915174
17,0,18,0.0
18,0,19,0.0
19,0,20,0.0
20,0,21,0.0
21,0,22,0.0
22,0,23,0.0
23,1,2,0.0
24,1,3,0.0
25,1,4,0.0
26,1,5,0.0
27,1,6,1.7796973547764416
28,1,7,1.7796973659516886
29,1,8,1.7796973599769896
30,1,9,1.7796973536848792
31,1,10,1.7796973608830178
32,1,11,1.7796973634829425
33,1,12,1.7796973608830169
34,1,13,1.7796973634829427
35,1,14,1.779697353684879
36,1,15,1.779697365951688
37,1,16,1.7796973599769883
38,1,17,1.779697354776443
39,1,18,0.0
40,1,19,0.0
41,1,20,0.0
42,1,21,0.0
43,1,22,0.0
44,1,23,0.0
45,2,3,0.0
46,2,4,0.0
47,2,5,0.0
48,2,6,1.7796973575483064
49,2,7,1.779697368723553
50,2,8,1.7796973627488544
51,2,9,1.7796973564567449
52,2,10,1.7796973636548823
53,2,11,1.7796973662548077
54,2,12,1.7796973636548816
55,2,13,1.779697366254808
56,2,14,1.7796973564567444
57,2,15,1.7796973687235529
58,2,16,1.7796973627488533
59,2,17,1.7796973575483082
60,2,18,0.0
61,2,19,0.0
62,2,20,0.0
63,2,21,0.0
64,2,22,0.0
65,2,23,0.0
66,3,4,0.0
67,3,5,0.0
68,3,6,1.7833818608378058
69,3,7,1.7833818746927326
70,3,8,1.7833818694013446
71,3,9,1.78338185975011
72,3,10,1.7833818677667304
73,3,11,1.7833818687923335
74,3,12,1.78338186776673
75,3,13,1.7833818687923333
76,3,14,1.7833818597501097
77,3,15,1.78338187469273
78,3,16,1.783381869401345
79,3,17,1.7833818608378065
80,3,18,0.0
81,3,19,0.0
82,3,20,0.0
83,3,21,0.0
84,3,22,0.0
85,3,23,0.0
86,4,5,0.0
87,4,6,1.7777752123165025
88,4,7,1.7777752077605615
89,4,8,1.777775202941806
90,4,9,1.777775211223829
91,4,10,1.777775207239062
92,4,11,1.777775218805168
93,4,12,1.777775207239061
94,4,13,1.7777752188051683
95,4,14,1.7777752112238294
96,4,15,1.7777752077605602
97,4,16,1.7777752029418006
98,4,17,1.777775212316509
99,4,18,0.0
100,4,19,0.0
101,4,20,0.0
102,4,21,0.0
103,4,22,0.0
104,4,23,0.0
105,5,6,1.7960747795117564
106,5,7,1.7960747764574898
107,5,8,1.796074789561421
108,5,9,1.7960747784327078
109,5,10,1.7960747759545848
110,5,11,1.7960747745915024
111,5,12,1.796074775954584
112,5,13,1.796074774591502
113,5,14,1.7960747784327085
114,5,15,1.7960747764574898
115,5,16,1.7960747895614206
116,5,17,1.796074779511755
117,5,18,0.0
118,5,19,0.0
119,5,20,0.0
120,5,21,0.0
121,5,22,0.0
122,5,23,0.0
123,6,7,0.0
124,6,8,0.0
125,6,9,0.0
126,6,10,0.0
127,6,11,0.0
128,6,12,0.0
129,6,13,0.0
130,6,14,0.0
131,6,15,0.0
132,6,16,0.0
133,6,17,0.0
134,6,18,1.7960747795117549
135,6,19,1.7960747770336314
136,6,20,1.7960747756705495
137,6,21,1.7960747805908035
138,6,22,1.7960747775365364
139,6,23,1.7960747906404684
140,7,8,0.0
141,7,9,0.0
142,7,10,0.0
143,7,11,0.0
144,7,12,0.0
145,7,13,0.0
146,7,14,0.0
147,7,15,0.0
148,7,16,0.0
149,7,17,0.0
150,7,18,1.7991345826160712
151,7,19,1.7991345796815108
152,7,20,1.7991345757199717
153,7,21,1.7991345836915211
154,7,22,1.7991345801736165
155,7,23,1.7991345997749415
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,0.0
160,8,13,0.0
161,8,14,0.0
162,8,15,0.0
163,8,16,0.0
164,8,17,0.0
165,8,18,1.7833818650470157
166,8,19,1.7833818730636344
167,8,20,1.7833818740892378
168,8,21,1.7833818661347105
169,8,22,1.7833818799896362
170,8,23,1.7833818746982508
171,9,10,0.0
172,9,11,0.0
173,9,12,0.0
174,9,13,0.0
175,9,14,0.0
176,9,15,0.0
177,9,16,0.0
178,9,17,0.0
179,9,18,1.7960747784327071
180,9,19,1.7960747759545832
181,9,20,1.796074774591501
182,9,21,1.796074779511756
183,9,22,1.7960747764574885
184,9,23,1.7960747895614202
185,10,11,0.0
186,10,12,0.0
187,10,13,0.0
188,10,14,0.0
189,10,15,0.0
190,10,16,0.0
191,10,17,0.0
192,10,18,1.77777519253912
193,10,19,1.7777752028435685
194,10,20,1.777775207239062
195,10,21,1.7777751936317947
196,10,22,1.7777752089891268
197,10,23,1.7777751930912251
198,11,12,0.0
199,11,13,0.0
200,11,14,0.0
201,11,15,0.0
202,11,16,0.0
203,11,17,0.0
204,11,18,1.777775204105226
205,11,19,1.777775214409675
206,11,20,1.7777752188051683
207,11,21,1.7777752051979012
208,11,22,1.7777752205552333
209,11,23,1.7777752046573312
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,0.0
214,12,17,0.0
215,12,18,1.7991345821239668
216,12,19,1.799134579189407
217,12,20,1.799134575227867
218,12,21,1.7991345831994163
219,12,22,1.7991345796815117
220,12,23,1.7991345992828374
221,13,14,0.0
222,13,15,0.0
223,13,16,0.0
224,13,17,0.0
225,13,18,1.7777752041052262
226,13,19,1.7777752144096748
227,13,20,1.7777752188051688
228,13,21,1.7777752051979014
229,13,22,1.7777752205552333
230,13,23,1.7777752046573314
231,14,15,0.0
232,14,16,0.0
233,14,17,0.0
234,14,18,1.7796973553651814
235,14,19,1.7796973625633177
236,14,20,1.779697365163245
237,14,21,1.779697356456744
238,14,22,1.77969736763199
239,14,23,1.779697361657291
240,15,16,0.0
241,15,17,0.0
242,15,18,1.799134582616071
243,15,19,1.7991345796815104
244,15,20,1.799134575719971
245,15,21,1.7991345836915205
246,15,22,1.7991345801736156
247,15,23,1.7991345997749413
248,16,17,0.0
249,16,18,1.7991346022173964
250,16,19,1.799134599282836
251,16,20,1.7991345953212965
252,16,21,1.7991346032928457
253,16,22,1.799134599774941
254,16,23,1.7991346193762687
255,17,18,1.7777751976165672
256,17,19,1.777775207921016
257,17,20,1.7777752123165094
258,17,21,1.7777751987092425
259,17,22,1.7777752140665748
260,17,23,1.777775198168673
261,18,19,0.0
262,18,20,0.0
263,18,21,0.0
264,18,22,0.0
265,18,23,0.0
266,19,20,0.0
267,19,21,0.0
268,19,22,0.0
269,19,23,0.0
270,20,21,0.0
271,20,22,0.0
272,20,23,0.0
273,21,22,0.0
274,21,23,0.0
