,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,1.8798396318176185
1,0,2,0,0,2.845765214059856
2,0,3,0,0,4.856355300265316
3,0,4,0,0,5.760012345483356
4,0,5,0,0,2.6366276824837778e-30
5,0,6,0,0,4.983443843563746
6,0,7,0,0,5.357977262256194
7,0,8,0,0,0.9888649441688923
8,0,9,0,0,4.97668983713652
9,0,10,0,0,4.9766898371365205
10,0,11,0,0,4.9766898371365205
11,0,12,0,0,4.514963341625868
12,0,13,0,0,2.8572158575405937
13,0,14,0,0,3.908797537847396
14,0,15,0,0,3.908797537847394
15,0,16,0,0,4.532453201536541
16,0,17,0,0,5.434771724509583
17,0,18,0,0,4.257766245651583
18,0,19,0,0,3.023600351344585
19,0,20,0,0,4.987758799451003
20,0,21,0,0,2.845765214059865
21,0,22,0,0,3.6459259651455116
22,0,23,0,0,4.983443843563739
23,0,24,0,0,5.760012345483354
24,0,25,0,0,1.0810445164812802e-29
25,0,26,0,0,5.779159205747119
26,0,27,0,0,3.645925965145513
27,0,28,0,0,4.9766898371365205
28,0,29,0,0,4.769767336668347
29,0,30,0,0,3.822901875901742
30,0,31,0,0,4.769767336668349
31,0,32,0,0,5.006526243428879
32,0,33,0,0,3.9080416870022585
33,0,34,0,0,4.962919567371633
34,0,35,0,0,5.00652624342888
35,0,36,0,0,4.831383379863336
36,0,37,0,0,5.434771724509583
37,0,38,0,0,5.434771724509584
38,0,39,0,0,4.532453201536529
39,1,2,0,0,4.983443843563744
40,1,3,0,0,5.378477761484435
41,1,4,0,0,4.987758799451006
42,1,5,0,0,1.8798396318176187
43,1,6,0,0,2.845765214059854
44,1,7,0,0,5.779159205747116
45,1,8,0,0,2.9418308024772184
46,1,9,0,0,4.529573688175006
47,1,10,0,0,4.529573688175006
48,1,11,0,0,4.529573688175006
49,1,12,0,0,4.800379985905805
50,1,13,0,0,3.908041687002256
51,1,14,0,0,3.908797537847396
52,1,15,0,0,3.908797537847394
53,1,16,0,0,4.257766245651583
54,1,17,0,0,4.831383379863341
55,1,18,0,0,4.53245320153654
56,1,19,0,0,4.252014969570624
57,1,20,0,0,5.760012345483356
58,1,21,0,0,4.9834438435637525
59,1,22,0,0,4.84797301216377
60,1,23,0,0,2.8457652140598464
61,1,24,0,0,4.987758799451015
62,1,25,0,0,1.8798396318176191
63,1,26,0,0,5.357977262256195
64,1,27,0,0,4.847973012163771
65,1,28,0,0,4.529573688175006
66,1,29,0,0,3.8229018759017426
67,1,30,0,0,4.769767336668346
68,1,31,0,0,3.8229018759017444
69,1,32,0,0,4.962919567371632
70,1,33,0,0,2.8572158575405964
71,1,34,0,0,5.006526243428879
72,1,35,0,0,4.962919567371633
73,1,36,0,0,5.43477172450957
74,1,37,0,0,4.8313833798633405
75,1,38,0,0,4.831383379863342
76,1,39,0,0,4.257766245651568
77,2,3,0,0,4.344567842457162
78,2,4,0,0,5.001380875132331
79,2,5,0,0,2.845765214059857
80,2,6,0,0,5.761243478151202
81,2,7,0,0,4.8524946104416316
82,2,8,0,0,0.9828331627876647
83,2,9,0,0,5.122180417573345
84,2,10,0,0,5.122180417573344
85,2,11,0,0,5.122180417573344
86,2,12,0,0,4.967340459972164
87,2,13,0,0,4.800604463528464
88,2,14,0,0,4.583846386526597
89,2,15,0,0,4.583846386526597
90,2,16,0,0,5.424883989640319
91,2,17,0,0,4.536869917016674
92,2,18,0,0,3.025013331023657
93,2,19,0,0,4.255317525386167
94,2,20,0,0,1.8835681563388857
95,2,21,0,0,1.6815002536877625e-29
96,2,22,0,0,3.4638744698190678
97,2,23,0,0,5.761243478151196
98,2,24,0,0,5.0013808751323126
99,2,25,0,0,2.8457652140598495
100,2,26,0,0,4.534601431327559
101,2,27,0,0,3.4638744698190695
102,2,28,0,0,5.122180417573344
103,2,29,0,0,4.812802891606823
104,2,30,0,0,3.363819809889601
105,2,31,0,0,4.812802891606824
106,2,32,0,0,3.911955930488014
107,2,33,0,0,5.008967240867903
108,2,34,0,0,4.501212053066498
