,isite_i,isite_j,distance
0,0,1,1.0649403420014123
1,0,2,1.0649403420014112
2,0,3,0.0
3,0,4,1.0649403420014127
4,0,5,0.0
5,0,6,0.0
6,0,7,1.0649403420014112
7,0,8,3.0469754461547787
8,0,9,3.291807023680738
9,0,10,3.291807023680739
10,0,11,3.0469754461547827
11,0,12,3.291807023680738
12,0,13,3.046975446154778
13,0,14,3.0469754461547827
14,0,15,3.291807023680741
15,0,16,2.6935246871741514
16,0,17,2.3469239101209034
17,0,18,2.3469239101209025
18,0,19,2.6935246871741496
19,0,20,2.346923910120901
20,0,21,2.693524687174151
21,0,22,2.693524687174152
22,0,23,2.3469239101209034
23,0,24,3.802201756785944
24,0,25,4.100382725943334
25,0,26,4.100382725943329
26,0,27,3.8022017567859447
27,0,28,4.100382725943333
28,0,29,3.802201756785944
29,0,30,3.8022017567859434
30,0,31,4.100382725943329
31,1,2,0.0
32,1,3,1.06576047082961
33,1,4,0.0
34,1,5,1.065760470829611
35,1,6,1.0657604708296111
36,1,7,0.0
37,1,8,3.2837065321658105
38,1,9,3.0491433081514363
39,1,10,3.049143308151437
40,1,11,3.2837065321658088
41,1,12,3.0491433081514367
42,1,13,3.283706532165811
43,1,14,3.2837065321658123
44,1,15,3.049143308151439
45,1,16,2.344442254814894
46,1,17,2.692188095336852
47,1,18,2.6921880953368484
48,1,19,2.344442254814893
49,1,20,2.692188095336846
50,1,21,2.344442254814894
51,1,22,2.344442254814894
52,1,23,2.692188095336849
53,1,24,4.104298257492975
54,1,25,3.795967888584027
55,1,26,3.7959678885840273
56,1,27,4.104298257492976
57,1,28,3.7959678885840273
58,1,29,4.104298257492977
59,1,30,4.104298257492972
60,1,31,3.795967888584025
61,2,3,1.0651604594299129
62,2,4,0.0
63,2,5,1.065160459429913
64,2,6,1.0651604594299136
65,2,7,0.0
66,2,8,3.286642499102398
67,2,9,3.056319049950339
68,2,10,3.0563190499503383
69,2,11,3.286642499102404
70,2,12,3.0563190499503423
71,2,13,3.2866424991023995
72,2,14,3.2866424991024044
73,2,15,3.056319049950341
74,2,16,2.3452614579914925
75,2,17,2.6943720861129354
76,2,18,2.6943720861129328
77,2,19,2.3452614579914925
78,2,20,2.694372086112933
79,2,21,2.3452614579914908
80,2,22,2.345261457991492
81,2,23,2.694372086112934
82,2,24,4.097843511980388
83,2,25,3.800068899305252
84,2,26,3.800068899305248
85,2,27,4.097843511980387
86,2,28,3.800068899305245
87,2,29,4.097843511980384
88,2,30,4.097843511980386
89,2,31,3.800068899305251
90,3,4,1.0652548168407296
91,3,5,0.0
92,3,6,0.0
93,3,7,1.0652548168407303
94,3,8,3.0577956240379653
95,3,9,3.296581824137201
96,3,10,3.2965818241372014
97,3,11,3.057795624037967
98,3,12,3.29658182413721
99,3,13,3.057795624037968
100,3,14,3.057795624037972
101,3,15,3.2965818241372054
102,3,16,2.699276815085192
103,3,17,2.3450681644397284
104,3,18,2.345068164439727
105,3,19,2.699276815085192
106,3,20,2.3450681644397253
107,3,21,2.699276815085191
108,3,22,2.6992768150851902
109,3,23,2.3450681644397275
110,3,24,3.797345854689591
111,3,25,4.09728015964283
112,3,26,4.097280159642832
113,3,27,3.797345854689591
114,3,28,4.097280159642833
115,3,29,3.797345854689589
116,3,30,3.797345854689593
117,3,31,4.097280159642825
118,4,5,1.0657604708296111
119,4,6,1.0657604708296111
120,4,7,0.0
121,4,8,3.283706532165809
122,4,9,3.049143308151438
123,4,10,3.0491433081514385
124,4,11,3.283706532165808
125,4,12,3.049143308151438
126,4,13,3.28370653216581
127,4,14,3.28370653216581
128,4,15,3.0491433081514407
129,4,16,2.344442254814894
130,4,17,2.692188095336852
131,4,18,2.6921880953368484
132,4,19,2.344442254814894
133,4,20,2.6921880953368467
134,4,21,2.344442254814894
135,4,22,2.344442254814894
136,4,23,2.692188095336849
137,4,24,4.104298257492975
138,4,25,3.7959678885840287
139,4,26,3.795967888584028
140,4,27,4.104298257492975
141,4,28,3.795967888584029
142,4,29,4.104298257492978
143,4,30,4.104298257492973
144,4,31,3.7959678885840273
145,5,6,0.0
146,5,7,1.065443637329266
147,5,8,3.054256537824422
148,5,9,3.284575583715901
149,5,10,3.284575583715902
150,5,11,3.054256537824421
151,5,12,3.2845755837159016
152,5,13,3.054256537824421
153,5,14,3.0542565378244237
154,5,15,3.2845755837159034
155,5,16,2.689691527838315
156,5,17,2.3463077689992784
157,5,18,2.3463077689992766
158,5,19,2.689691527838315
159,5,20,2.3463077689992757
160,5,21,2.689691527838316
161,5,22,2.689691527838316
162,5,23,2.3463077689992766
163,5,24,3.795439893696248
164,5,25,4.096710131611484
165,5,26,4.096710131611488
166,5,27,3.795439893696248
167,5,28,4.096710131611487
168,5,29,3.795439893696245
169,5,30,3.795439893696249
170,5,31,4.096710131611481
171,6,7,1.0649403420014123
172,6,8,3.0469754461547818
173,6,9,3.291807023680734
174,6,10,3.291807023680737
175,6,11,3.046975446154786
176,6,12,3.2918070236807355
177,6,13,3.046975446154781
178,6,14,3.0469754461547867
179,6,15,3.291807023680738
180,6,16,2.693524687174149
181,6,17,2.3469239101209065
182,6,18,2.3469239101209047
183,6,19,2.693524687174147
184,6,20,2.3469239101209034
185,6,21,2.6935246871741505
186,6,22,2.6935246871741505
187,6,23,2.346923910120905
188,6,24,3.802201756785942
189,6,25,4.100382725943339
190,6,26,4.100382725943334
191,6,27,3.802201756785943
192,6,28,4.100382725943337
193,6,29,3.8022017567859434
194,6,30,3.8022017567859407
195,6,31,4.100382725943335
196,7,8,3.2837065321658083
